gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained,acmg_sf,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels,combined_actionability_v2
SBDS,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"AN_TH, SK",0.5882352941176471,high,14.0,0.6852941176470588,1.3519e-05,0.73588,1.08,1.4414,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6852941176470588
SC5D,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,BIL,0.072992700729927,high,6.0,0.1141970802919707,5.8326e-06,0.86864,1.303,1.1781,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1141970802919707
SCN11A,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,SEIZ,0.3846153846153846,high,8.0,0.6038461538461538,3.9782e-18,0.69106,0.834,1.8029,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6038461538461538
SCN1A,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,SEIZ,0.7285714285714285,high,1004.0,0.8914285714285715,1.0,0.056411,0.098,7.6177,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9914285714285714
SCN1B,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,1,0,0,1.0,COND,0.3717948717948718,high,48.0,0.1737179487179487,0.19763,0.42915,0.71,1.9304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1737179487179487
SCN2B,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,0,0,0,1.0,COND,0.2727272727272727,medium,6.0,0.1340909090909091,0.00020525,0.7357,1.15,0.80285,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1340909090909091
SCN3B,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,1,0,0,1.0,COND,0.2285714285714285,high,16.0,0.1164285714285714,0.31566,0.40914,0.677,1.5983,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1164285714285714
SCN4A,2,3.0,1.0,3.0,0.75,0.45,1,1,1,1.0,HYPOTO|SEIZ,0.5255474452554745,high,188.0,0.6602189781021898,2.0645e-10,0.52156,0.628,2.2392,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6602189781021898
SCN4B,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,1,0,0,1.0,COND,0.2444444444444444,high,22.0,0.1227777777777777,1.0751e-05,0.87223,1.324,0.6302,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1227777777777777
SCN5A,2,4.0,0.6,2.0,0.3999999999999999,0.3999999999999999,1,0,1,1.0,"CM, COND",0.3894523326572008,high,614.0,0.3957809330628803,1.0,0.29477,0.372,4.8452,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5957809330628803
