disease_id,disease_name,source
ORPHA:99736,Acetazolamide-responsive myotonia,HPO_root
OMIM:200300,Acetophenetidin sensitivity,HPO_root
OMIM:613933,Acetyl-CoA carboxylase deficiency,HPO_root
OMIM:614055,Acetyl-Coa acetyltransferase-2 deficiency,HPO_root
OMIM:243400,"Acetylation, slow",HPO_root
OMIM:200400,"Achalasia, familial esophageal",HPO_root
OMIM:231550,Achalasia-Addisonianism-Alacrima syndrome,HPO_root
OMIM:200450,Achalasia-Microcephaly syndrome,HPO_root
ORPHA:929,Achalasia-microcephaly syndrome,HPO_root
OMIM:621123,Achalasia-progeroid syndrome,HPO_root
OMIM:100700,Achard syndrome,HPO_root
OMIM:200500,Acheiropody,HPO_root
ORPHA:932,Achondrogenesis,HPO_root
ORPHA:93299,Achondrogenesis type 1A,HPO_root
ORPHA:93298,Achondrogenesis type 1B,HPO_root
ORPHA:93296,Achondrogenesis type 2,HPO_root
OMIM:200600,"Achondrogenesis, type IA",HPO_root
OMIM:600972,"Achondrogenesis, type IB",HPO_root
OMIM:200610,"Achondrogenesis, type II",HPO_root
OMIM:100800,Achondroplasia,HPO_root
ORPHA:15,Achondroplasia,HPO_root
OMIM:616482,"Achondroplasia, severe, with developmental delay and acanthosis nigricans",HPO_root
OMIM:200900,"Achondroplasia, so-called, and severe combined immunodeficiency",HPO_root
OMIM:100820,Achoo syndrome,HPO_root
ORPHA:49382,Achromatopsia,HPO_root
OMIM:216900,Achromatopsia 2,HPO_root
OMIM:262300,Achromatopsia 3,HPO_root
OMIM:613856,Achromatopsia 4,HPO_root
OMIM:616517,Achromatopsia 7,HPO_root
OMIM:615961,"Acid-labile subunit, deficiency of",HPO_root
ORPHA:40366,Acitretin/etretinate embryopathy,HPO_root
OMIM:200970,Ackerman syndrome,HPO_root
OMIM:142690,"Acne inversa, familial",HPO_root
OMIM:613736,"Acne inversa, familial, 2, with or without dowling-degos disease",HPO_root
OMIM:613737,"Acne inversa, familial, 3",HPO_root
ORPHA:90065,Acquired aneurysmal subarachnoid hemorrhage,HPO_root
OMIM:300909,Acquired angioedema,HPO_root
ORPHA:95626,Acquired arginine vasopressin deficiency,HPO_root
ORPHA:79086,Acquired generalized lipodystrophy,HPO_root
ORPHA:158057,Acquired hemophagocytic lymphohistiocytosis associated with malignant disease,HPO_root
ORPHA:2221,Acquired hypertrichosis lanuginosa,HPO_root
ORPHA:454,Acquired ichthyosis,HPO_root
ORPHA:75564,Acquired idiopathic sideroblastic anemia,HPO_root
ORPHA:464453,Acquired methemoglobinemia,HPO_root
ORPHA:79087,Acquired partial lipodystrophy,HPO_root
ORPHA:49566,Acquired purpura fulminans,HPO_root
ORPHA:99147,Acquired von Willebrand syndrome,HPO_root
ORPHA:263534,Acral peeling skin syndrome,HPO_root
ORPHA:281127,Acral self-healing collodion baby,HPO_root
ORPHA:958,Acro-renal-mandibular syndrome,HPO_root
ORPHA:959,Acro-renal-ocular syndrome,HPO_root
OMIM:200990,Acrocallosal syndrome,HPO_root
ORPHA:36,Acrocallosal syndrome,HPO_root
ORPHA:63446,Acrocapitofemoral dysplasia,HPO_root
OMIM:607778,Acrocapitofemoral dysplasia,HPO_root
ORPHA:2008,Acrocardiofacial syndrome,HPO_root
OMIM:200995,Acrocephalopolydactylous dysplasia,HPO_root
ORPHA:221054,Acrocephalopolydactyly,HPO_root
ORPHA:949,Acrocraniofacial dysostosis,HPO_root
ORPHA:37,Acrodermatitis enteropathica,HPO_root
OMIM:201100,"Acrodermatitis enteropathica, Zinc-Deficiency type",HPO_root
ORPHA:950,Acrodysostosis,HPO_root
OMIM:101800,"Acrodysostosis 1, with or without hormone resistance",HPO_root
OMIM:614613,Acrodysostosis 2 with or without hormone resistance,HPO_root
ORPHA:2956,Acrodysplasia scoliosis,HPO_root
OMIM:154400,"Acrofacial dysostosis 1, Nager type",HPO_root
OMIM:201170,Acrofacial dysostosis syndrome of rodriguez,HPO_root
ORPHA:1786,"Acrofacial dysostosis, Catania type",HPO_root
OMIM:101805,"Acrofacial dysostosis, Catania type",HPO_root
OMIM:616462,"Acrofacial dysostosis, Cincinnati type",HPO_root
ORPHA:1787,"Acrofacial dysostosis, Palagonia type",HPO_root
ORPHA:1788,"Acrofacial dysostosis, Rodríguez type",HPO_root
ORPHA:952,"Acrofacial dysostosis, Weyers type",HPO_root
ORPHA:1784,Acrofrontofacionasal dysostosis,HPO_root
OMIM:201180,Acrofrontofacionasal dysostosis 1,HPO_root
OMIM:239710,Acrofrontofacionasal dysostosis 2,HPO_root
ORPHA:2500,Acrogeria,HPO_root
OMIM:101840,"Acrokeratoderma, hereditary papulotranslucent",HPO_root
ORPHA:38,Acrokeratoelastoidosis of Costa,HPO_root
OMIM:101900,Acrokeratosis verruciformis,HPO_root
ORPHA:79151,Acrokeratosis verruciformis of Hopf,HPO_root
OMIM:102000,"Acroleukopathy, symmetric",HPO_root
OMIM:102100,"Acromegaloid changes, cutis verticis gyrata, and corneal leukoma",HPO_root
OMIM:102150,Acromegaloid facial appearance syndrome,HPO_root
ORPHA:963,Acromegaly,HPO_root
OMIM:603671,Acromelic frontonasal dysostosis,HPO_root
ORPHA:1827,Acromelic frontonasal dysplasia,HPO_root
OMIM:200700,Acromesomelic dysplasia 2A,HPO_root
OMIM:619636,Acromesomelic dysplasia 4,HPO_root
OMIM:609441,"Acromesomelic dysplasia, Demirhan type",HPO_root
ORPHA:2098,"Acromesomelic dysplasia, Grebe type",HPO_root
ORPHA:968,"Acromesomelic dysplasia, Hunter-Thompson type",HPO_root
OMIM:201250,"Acromesomelic dysplasia, Hunter-Thompson type",HPO_root
OMIM:602875,"Acromesomelic dysplasia, Maroteaux type",HPO_root
ORPHA:40,"Acromesomelic dysplasia, Maroteaux type",HPO_root
OMIM:102350,Acromial dimples,HPO_root
OMIM:102370,Acromicric dysplasia,HPO_root
ORPHA:969,Acromicric dysplasia,HPO_root
ORPHA:2980,Acrootoocular syndrome,HPO_root
OMIM:605967,Acropectoral syndrome,HPO_root
ORPHA:85203,Acropectoral syndrome,HPO_root
ORPHA:957,Acropectorovertebral dysplasia,HPO_root
ORPHA:971,Acrorenal syndrome,HPO_root
