orpha_code,name,disorder_type,group,synonyms,geo_prevalence
1941,Juvenile absence epilepsy,Disease,Disorder,JAE,Global
892,Von Hippel-Lindau disease,Disease,Disorder,Familial cerebelloretinal angiomatosis|Lindau disease|VHL|Von Hippel-Lindau syndrome,Global
164823,Rare acquired aplastic anemia,Category,Group of disorders,,Global
731,Autosomal recessive polycystic kidney disease,Disease,Disorder,AR-PKD,Global
164736,Familial advanced sleep-phase syndrome,Disease,Disorder,FASPS,Global
138,CHARGE syndrome,Malformation syndrome,Disorder,CHARGE association|Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome|Hall-Hittner syndrome,Global
558,Marfan syndrome,Disease,Disorder,MFS,Global
165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Disorder,,Global
803,Amyotrophic lateral sclerosis,Disease,Disorder,ALS|Charcot disease|Lou Gehrig disease,Global
165711,Rare abdominal surgical disease,Category,Group of disorders,,Global
802,NON RARE IN EUROPE: Multiple sclerosis,Disease,Disorder,,Global
165707,Syndromic urogenital tract malformation,Category,Group of disorders,,Global
100,Ataxia-telangiectasia,Disease,Disorder,Louis-Bar syndrome,Global
165704,Non-syndromic urogenital tract malformation,Category,Group of disorders,,Global
733,Familial adenomatous polyposis,Disease,Disorder,Colorectal adenomatous polyposis|FAP|Familial polyposis coli,Global
165961,OBSOLETE: Subcutaneous myiasis,Category,Group of disorders,,Global
399,Huntington disease,Disease,Disorder,Huntington chorea,Global
165955,Wound myiasis,Disease,Disorder,Traumatic myiasis,Global
501,Lafora disease,Disease,Disorder,EPM2|PME type 2|Progressive myoclonic epilepsy type 2|Progressive myoclonus epilepsy type 2,Global
165958,Cavitary myiasis,Disease,Disorder,,Global
870,Down syndrome,Malformation syndrome,Disorder,Trisomy 21,Global
512,Metachromatic leukodystrophy,Disease,Disorder,Arylsulfatase A deficiency|MLD,Global
166011,"Multiple epiphyseal dysplasia, Beighton type",Disease,Disorder,Multiple epiphyseal dysplasia-myopia-hearing loss syndrome|Multiple epiphyseal dysplasia-myopia-deafness syndrome,Global
166016,"Multiple epiphyseal dysplasia, Lowry type",Disease,Disorder,Multiple epiphyseal dysplasia with Robin phenotype,Global
567,22q11.2 deletion syndrome,Malformation syndrome,Disorder,22q11DS|CATCH 22|Cayler cardiofacial syndrome|Conotruncal anomaly face syndrome|DiGeorge sequence|DiGeorge syndrome|Microdeletion 22q11.2|Monosomy 22q11|Sedlackova syndrome|Shprintzen syndrome|Takao syndrome|Velocardiofacial syndrome,Global
232,Sickle cell anemia,Disease,Disorder,Homozygous hemoglobin S|Homozygous sickle cell anemia SS,Global
165994,Pituitary resistance to thyroid hormone,Disease,Disorder,PRTH|Selective pituitary resistance to thyroid hormone,Global
536,Systemic lupus erythematosus,Disease,Disorder,Disseminated lupus erythematosus|SLE,Global
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,Disease,Disorder,,Global
534,Oculocerebrorenal syndrome of Lowe,Malformation syndrome,Disorder,"Lowe disease|Lowe oculo-cerebro-renal syndrome|Lowe syndrome|OCRL|Phosphatidylinositol 4,5-biphosphate 5-phosphatase deficiency|Lowe oculo-cerebro-renal dystrophy|Lowe oculocerebrorenal dystrophy",Global
165988,Diazoxide-resistant diffuse hyperinsulinism,Clinical group,Group of disorders,"Hyperinsulinemic hypoglycemia, diazoxide-resistant diffuse form",Global
790,Retinoblastoma,Disease,Disorder,,Global
165991,Exercise-induced hyperinsulinism,Disease,Disorder,EIHI|Exercise-induced hyperinsulinemic hypoglycemia|Hyperinsulinism due to SLC16A1 deficiency|Hyperinsulinism due to monocarboxylate transporter 1 deficiency,Global
652,Multiple endocrine neoplasia type 1,Disease,Disorder,MEN1|Wermer syndrome,Global
165985,Diazoxide-sensitive diffuse hyperinsulinism,Clinical group,Group of disorders,"Hyperinsulinemic hypoglycemia, diazoxide-sensitive diffuse form",Global
908,Fragile X syndrome,Malformation syndrome,Disorder,FRAXA syndrome|FXS|FraX syndrome|Martin-Bell syndrome,Global
3099,Rheumatic fever,Disease,Disorder,Acute rheumatic fever,Global
739,Prader-Willi syndrome,Disease,Disorder,Prader-Labhart-Willi syndrome,Global
47,X-linked agammaglobulinemia,Clinical subtype,Subtype of disorder,BTK-deficiency|Bruton type agammaglobulinemia,Global
580,Mucopolysaccharidosis type 2,Disease,Disorder,Hunter syndrome|Iduronate 2-sulfatase deficiency|MPS2|MPSII|Mucopolysaccharidosis type II,Global
579,Mucopolysaccharidosis type 1,Disease,Disorder,Alpha-L-iduronidase deficiency|MPS1|MPSI|Mucopolysaccharidosis type I,Global
905,Wilson disease,Disease,Disorder,Hepatolenticular degeneration,Global
163209,Non-syndromic cerebral malformation due to abnormal neuronal migration,Category,Group of disorders,Brain malformation due to abnormal neuronal migration,Global
792,X-linked retinoschisis,Malformation syndrome,Disorder,X-linked juvenile retinoschisis|XLRS,Global
163528,OBSOLETE: Acute cutaneous lupus erythematosus,Category,Group of disorders,,Global
383,X-linked mixed deafness with perilymphatic gusher,Clinical subtype,Subtype of disorder,Conductive deafness with stapes fixation|DFNX2|Nance deafness|X-linked deafness type 2|X-linked mixed conductive and neurosensory deafness|X-linked mixed conductive and neurosensory hearing loss|X-linked mixed conductive and sensorineural deafness|X-linked mixed conductive and sensorineural hearing loss|X-linked stapes gusher syndrome,Global
163525,Subacute cutaneous lupus erythematosus,Disease,Disorder,,Global
827,Stargardt disease,Disease,Disorder,Fundus flavimaculatus|Stargardt 1,Global
163582,Rare bacterial infectious disease,Category,Group of disorders,,Global
163531,Chronic cutaneous lupus erythematosus,Clinical group,Group of disorders,,Global
906,Wiskott-Aldrich syndrome,Disease,Disorder,Eczema-thrombocytopenia-immunodeficiency syndrome|WAS,Global
904,Williams syndrome,Malformation syndrome,Disorder,Deletion 7q11.23|Monosomy 7q11.23|Williams-Beuren syndrome,Global
162521,OBSOLETE: Congenital nasal pyriform aperture stenosis with holoprosencephaly,Malformation syndrome,Disorder,OBSOLETE: Apertura pyriformis with holoprosencephaly,Global
280,Wolf-Hirschhorn syndrome,Malformation syndrome,Disorder,4p- syndrome|Distal deletion 4p|Distal monosomy 4p|Telomeric deletion 4p,Global
162516,Isolated congenital nasal pyriform aperture stenosis,Malformation syndrome,Disorder,Isolated apertura pyriformis stenosis|Isolated nasal pyriform aperture hypoplasia,Global
15,Achondroplasia,Disease,Disorder,,Global
96,Ataxia with vitamin E deficiency,Disease,Disorder,AVED|Ataxia with isolated vitamin E deficiency|Familial isolated vitamin E deficiency|Friedreich-like ataxia|Isolated vitamin E deficiency,Global
162526,Isolated congenital auditory ossicle malformation,Morphological anomaly,Disorder,Congenital auditory ossicle malformation without external ear abnormality,Global
101,Dentatorubral pallidoluysian atrophy,Disease,Disorder,DRPLA|Dentatorubropallidoluysian atrophy|Naito-Oyanagi disease,Global
783,Rubinstein-Taybi syndrome,Malformation syndrome,Disorder,Broad thumb-hallux syndrome|Broad thumbs-halluces syndrome,Global
163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,Disease,Disorder,"Spondyloepiphyseal dysplasia, Nishimura type",Global
631,Non-acquired isolated growth hormone deficiency,Disease,Disorder,Congenital IGHD|Congenital isolated GH deficiency|Congenital isolated growth hormone deficiency,Global
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,Disease,Disorder,"SCIDX1|T-B+ SCID due to gamma chain deficiency|T-B+ severe combined immunodeficiency, X-linked",Global
163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,Disease,Disorder,"SED-BDS|Tattoo dysplasia|Spondyloepiphyseal dysplasia, Cantu type",Global
481,Kennedy disease,Disease,Disorder,SBMA|X-linked BSMA|X-linked bulbospinal amyotrophy|X-linked bulbospinal muscular atrophy|X-linked spinal and bulbar muscular atrophy|SMAX1,Global
664,Ornithine transcarbamylase deficiency,Disease,Disorder,OCT deficiency|OTC deficiency|Ornithine carbamoyltransferase deficiency,Global
163668,"Spondyloepiphyseal dysplasia, MacDermot type",Malformation syndrome,Disorder,Spondyloepiphyseal dysplasia-myopia-sensorineural deafness syndrome|Spondyloepiphyseal dysplasia-myopia-sensorineural hearing loss syndrome,Global
163673,"Spondyloepiphyseal dysplasia, Byers type",Disease,Disorder,Spondyloepiphyseal dysplasia-punctate corneal dystrophy syndrome,Global
163662,"Spondyloepiphyseal dysplasia, Reardon type",Disease,Disorder,,Global
394,Homocystinuria due to cystathionine beta-synthase deficiency,Disease,Disorder,Cystathionine beta-synthase-deficient homocystinuria|Cystathionine beta-synthase deficiency|Homocystinuria due to CBS deficiency|CBS-deficient HCU|Classical homocystinuria,Global
163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",Disease,Disorder,,Global
508,Donohue syndrome,Malformation syndrome,Disorder,,Global
163591,Rare mycosis,Category,Group of disorders,,Global
436,Hypophosphatasia,Disease,Disorder,HPP|Phosphoethanolaminuria|Rathbun disease,Global
163596,Hemoglobin Bart's fetalis syndrome,Disease,Disorder,Alpha-thalassemia hydrops fetalis|Alpha-thalassemia major|Hemoglobin Bart's hydrops fetalis|Homozygous alpha0-thalassemia|Hemoglobin Bart's disease|Haemoglobin Bart's hydrops fetalis|Hb Bart's hydrops fetalis syndrome|HBHF|BHFS|Haemoglobin Bart's disease,Global
163585,Rare viral disease,Category,Group of disorders,,Global
429,Hypochondroplasia,Disease,Disorder,,Global
163588,Rare parasitic disease,Category,Group of disorders,,Global
437,Hypophosphatemic rickets,Clinical group,Group of disorders,,Global
