gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability
VCL,1,3.0,0.6,2.0,0.3,0.3,1,0,1,1.0,CM,0.2756756756756757,high,98.0,0.2902702702702703
VCP,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,HYPOTO,0.3384615384615385,high,34.0,0.5853846153846154
VDR,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,,0.2745098039215686,high,52.0,0.7098039215686274
VHL,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,AN_TH,0.4862637362637362,high,243.0,0.7945054945054945
VIPAS39,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"BIL, REN, HYPOTO, DERM",0.3333333333333333,high,18.0,0.5833333333333333
VLDLR,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,SEIZ,0.4,high,64.0,0.61
VPS13A,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"SEIZ, HYPOTO",0.2862903225806452,high,69.0,0.714516129032258
VPS13B,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,SEIZ,0.5251533742331288,high,312.0,0.6600613496932515
VPS33B,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"BIL, REN",0.3103448275862069,high,34.0,0.5741379310344827
VPS53,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,0,0,0,0.0,,0.5714285714285714,medium,2.0,0.25357142857142856
VSX1,1,2.0,0.4,1.0,0.06666666666666667,0.06666666666666667,0,0,0,1.0,,0.0869565217391304,medium,6.0,0.07478260869565216
VWF,1,4.0,0.6,2.0,0.39999999999999997,0.39999999999999997,1,0,1,1.0,AN_TH,0.3730769230769231,high,240.0,0.3892307692307692
WAS,1,4.0,1.0,3.0,1.0,1.0,1,1,1,2.0,AN_TH,0.7340425531914894,high,55.0,0.8936170212765957
WDR19,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,"BIL, REN, SK",0.4827586206896552,high,74.0,0.2781034482758621
WDR35,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,"BIL, RE, SK, DERM",0.2566037735849056,high,58.0,0.18764150943396224
WDR36,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,0,0,0,1.0,,0.0606060606060606,medium,6.0,0.04924242424242424
WDR62,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,SEIZ,0.391304347826087,high,118.0,0.6065217391304347
WFS1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"HL, IEM, SEIZ, HYPOTO",0.4910179640718562,high,282.0,0.7964071856287425
WNK1,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,"REN, HYPOTO",0.1801566579634465,high,67.0,0.0970626631853786
WNT10A,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,,0.4262295081967213,high,44.0,0.6204918032786885
WNT3,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,SK,0.4,medium,2.0,0.18500000000000003
WNT5A,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,1.0,SK,0.358974358974359,high,26.0,0.2285897435897436
