gene_symbol,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained
OXLD1,2.9748e-06,1.5971,1.943,-0.93318,0,0
DVL2,2.9734e-06,0.54826,0.719,1.0542,0,0
NBR1,2.9697e-06,0.52012,0.667,1.3082,0,0
L1TD1,2.956e-06,0.87047,1.291,-1.18,0,0
LACTB2,2.955e-06,0.92412,1.386,0.4904,0,0
MMD,2.9499e-06,0.87062,1.291,0.77309,0,0
FGA,2.9322e-06,0.9915,1.502,0.52576,0,0
FBXO16,2.9282e-06,0.68702,0.966,0.02034,0,0
TMEM223,2.9272e-06,1.1915,1.781,-2.6622,0,0
RMI2,2.8964e-06,1.6053,1.944,-2.4818,0,0
RIPOR1,2.8925e-06,0.48975,0.609,2.2718,0,0
MUSTN1,2.8859e-06,1.1937,1.783,-0.24359,0,0
SLC43A3,2.8757e-06,0.59572,0.804,1.3159,0,0
SERPINB9,2.8756e-06,0.79077,1.149,0.052371,0,0
C1QTNF4,2.8613e-06,1.195,1.784,-2.0297,0,0
HMGCLL1,2.8564e-06,0.87301,1.294,-0.11729,0,0
UFC1,2.8549e-06,0.7322,1.046,0.768,0,0
TIMM23B-AGAP6,2.8442e-06,0.92739,1.39,0.81654,0,0
C18ORF21,2.8373e-06,0.79155,1.15,0.15198,0,0
AURKAIP1,2.8279e-06,1.1969,1.786,-1.8023,0,0
ZNF77,2.8173e-06,1.0819,1.646,-0.19336,0,0
UQCRC1,2.8097e-06,0.57274,0.763,0.69681,0,0
LRIG1,2.8033e-06,0.50916,0.646,-1.7609,0,0
ARHGDIG,2.8009e-06,0.87446,1.297,-0.55114,0,0
SRPK1,2.7984e-06,0.57282,0.763,2.2039,0,0
KYAT3,2.7923e-06,0.79248,1.152,0.75006,0,0
CNTN3,2.7911e-06,0.52087,0.668,1.6094,0,0
HEXB,2.7909e-06,0.76064,1.095,-0.15228,0,0
KCTD12,2.7908e-06,0.9965,1.51,-0.70801,0,0
SEMA3E,2.7748e-06,0.52094,0.668,1.1196,0,0
PRSS3,2.7737e-06,0.83041,1.218,1.1029,0,0
ANKRD7,2.7634e-06,0.83066,1.219,0.75901,0,0
H3C2,2.7623e-06,1.3655,1.892,1.5224,0,0
CLEC17A,2.7574e-06,0.58029,0.776,1.0713,0,0
LAPTM4B,2.7544e-06,1.0847,1.649,-0.57693,0,0
ZFP36L2,2.7454e-06,0.99817,1.512,-5.3805,0,0
FAM170A,2.7373e-06,0.68963,0.97,-0.35555,0,0
P4HA2,2.73e-06,0.61672,0.841,1.3154,0,0
RFC3,2.7289e-06,0.79381,1.153,0.14382,0,0
PRSS50,2.6922e-06,0.71109,1.007,0.50036,0,0
INAVA,2.6905e-06,0.6171,0.841,-0.25561,0,0
CCN2,2.6895e-06,0.735,1.05,-0.22824,0,0
MOB3A,2.6769e-06,0.93261,1.398,-0.20739,0,0
TTC32,2.6664e-06,1.0887,1.655,-0.017951,0,0
COASY,2.6657e-06,0.58886,0.791,0.27059,0,0
IL18R1,2.6655e-06,0.79518,1.155,1.2767,0,0
CHN2,2.664e-06,0.64178,0.885,1.4685,0,0
TMEM92,2.6563e-06,1.0015,1.517,0.92512,0,0
RLN3,2.648e-06,1.2072,1.794,0.04916,0,0
ZNF385C,2.6439e-06,0.71186,1.009,0.28539,0,0
CREG1,2.6407e-06,1.2077,1.795,-1.3328,0,0
KANK2,2.6403e-06,0.54062,0.704,0.62293,0,0
RTN3,2.6365e-06,0.54524,0.712,0.36579,0,0
SPATA25,2.6355e-06,1.0023,1.518,0.27732,0,0
TUBA3D,2.6336e-06,0.69113,0.972,3.5901,0,0
RCSD1,2.6274e-06,0.65662,0.911,-0.7107,0,0
KCNJ16,2.6186e-06,0.79622,1.157,0.48391,0,0
SPATA9,2.5989e-06,0.93517,1.402,0.37037,0,0
SFT2D2,2.5873e-06,0.79692,1.158,0.40746,0,0
ANGPTL5,2.5851e-06,0.79697,1.158,-0.16938,0,0
HMSD,2.5733e-06,1.6428,1.948,0.38801,0,0
REC8,2.5641e-06,0.52886,0.682,2.2088,0,0
BCAR1,2.5541e-06,0.58186,0.778,-2.1285,0,0
ZNF747,2.5435e-06,1.2136,1.799,-1.9302,0,0
TTC1,2.5422e-06,0.76551,1.102,0.051745,0,0
BCCIP,2.5422e-06,0.73766,1.053,0.18276,0,0
ATP23,2.5351e-06,0.79811,1.16,0.87172,0,0
AQP9,2.5342e-06,0.79814,1.16,-0.70042,0,0
FNDC11,2.5341e-06,0.88195,1.308,0.46013,0,0
AXL,2.5337e-06,0.49848,0.625,2.1744,0,0
PLXDC1,2.5302e-06,0.63037,0.864,1.0285,0,0
RBP2,2.5247e-06,0.93769,1.406,0.53598,0,0
HEMGN,2.5209e-06,0.67433,0.942,0.94695,0,0
LPP,2.5196e-06,0.57486,0.765,-1.1411,0,0
TMED9,2.517e-06,0.73813,1.054,1.2829,0,0
FAM71D,2.5156e-06,0.69292,0.974,0.80499,0,0
ECRG4,2.5092e-06,1.0074,1.525,-0.4352,0,0
TDRD3,2.5017e-06,0.52918,0.682,1.3246,0,0
SLC52A3,2.5009e-06,0.71425,1.012,1.0335,0,0
TPD52L3,2.4999e-06,1.2164,1.802,-1.0845,0,0
C16ORF74,2.4895e-06,2.1275,1.971,-2.6361,0,0
TXNDC15,2.4837e-06,0.69342,0.975,1.3739,0,0
AJM1,2.4787e-06,0.79944,1.162,-2.0249,0,0
PEMT,2.4786e-06,0.88362,1.31,-0.065971,0,0
ZDHHC20,2.463e-06,0.71491,1.013,0.49331,0,0
EML3,2.4595e-06,0.5009,0.63,2.0603,0,0
TPSAB1,2.4474e-06,1.3916,1.9,-0.3743,0,0
CYP7B1,2.4458e-06,0.64438,0.889,-0.54362,0,0
CNNM4,2.4379e-06,0.5908,0.794,2.9619,0,0
PMF1,2.4348e-06,0.83899,1.231,0.053932,0,0
TIAM2,2.4305e-06,0.47109,0.572,2.1074,0,0
OR9K2,2.4281e-06,1.2211,1.805,-0.66936,0,0
ATP11A,2.4157e-06,0.48327,0.596,1.8398,0,0
DES,2.4033e-06,0.59986,0.81,0.37093,0,0
DOK4,2.3966e-06,0.65966,0.915,1.0853,0,0
SPHKAP,2.3954e-06,0.47796,0.586,0.55867,0,0
TC2N,2.3888e-06,0.80161,1.165,0.40763,0,0
AIMP2,2.3887e-06,0.76879,1.107,-1.4459,0,0
TMEM190,2.3843e-06,0.94269,1.413,-0.14195,0,0
CIB1,2.3786e-06,0.84054,1.233,0.07808,0,0
SLU7,2.3595e-06,0.58349,0.78,2.8668,0,0
BPIFB1,2.3474e-06,0.59163,0.795,1.221,0,0
CLC,2.3459e-06,1.1049,1.675,0.43754,0,0
SNORC,2.3294e-06,2.1665,1.972,-2.6529,0,0
ABO,2.3242e-06,0.94494,1.416,0.14459,0,0
REXO4,2.3209e-06,0.67731,0.946,0.58982,0,0
COLEC11,2.3153e-06,0.80346,1.168,1.6017,0,0
TMEM192,2.311e-06,0.80357,1.168,0.6049,0,0
VASN,2.3087e-06,1.4046,1.904,-0.93642,0,0
EPPIN-WFDC6,2.3073e-06,0.88904,1.318,0.37891,0,0
ING4,2.2982e-06,0.74246,1.06,1.5695,0,0
COG2,2.2958e-06,0.55239,0.724,1.0125,0,0
GET1,2.2944e-06,0.84295,1.237,0.5683,0,0
ACTR6,2.2941e-06,0.71797,1.017,1.9492,0,0
ACBD5,2.2882e-06,0.55784,0.734,1.6734,0,0
MRPS35,2.2875e-06,0.80418,1.169,0.46941,0,0
LGALS9,2.2743e-06,0.71835,1.018,1.4536,0,0
PRKCSH,2.2611e-06,0.5385,0.699,0.39725,0,0
ERGIC3,2.2603e-06,0.58438,0.781,1.7279,0,0
JAK2,2.2544e-06,0.62177,0.848,-0.029992,0,0
CHSY3,2.2522e-06,0.64691,0.892,0.087351,0,0
KIF1C,2.2494e-06,0.4901,0.609,1.2558,0,0
CERK,2.2397e-06,0.61122,0.829,0.27625,0,0
SPACA9,2.2312e-06,1.1113,1.682,0.26271,0,0
PRDM4,2.2307e-06,0.55827,0.734,2.1843,0,0
MGST3,2.2295e-06,0.84487,1.24,1.2269,0,0
SIT1,2.2284e-06,0.8449,1.24,0.67613,0,0
MRPS5,2.2282e-06,0.61135,0.829,-0.2192,0,0
NPC2,2.2188e-06,0.94904,1.422,0.46551,0,0
HOXB8,2.217e-06,0.80603,1.171,0.90671,0,0
KIAA1522,2.2091e-06,0.57743,0.769,-0.99557,0,0
USP30,2.2078e-06,0.5706,0.757,1.8904,0,0
ZNF502,2.2056e-06,0.62236,0.849,1.2892,0,0
SYCP3,2.2031e-06,0.74449,1.063,0.83231,0,0
C6ORF89,2.2003e-06,0.64763,0.893,1.056,0,0
C7ORF33,2.1967e-06,1.1133,1.685,1.1751,0,0
HSD17B8,2.1914e-06,0.71996,1.02,-0.45757,0,0
PHPT1,2.1909e-06,1.0215,1.546,-1.3425,0,0
SERPINA12,2.1885e-06,0.77344,1.114,-0.40963,0,0
NSUN6,2.1855e-06,1.0218,1.546,-1.2071,0,0
THG1L,2.1821e-06,0.7736,1.114,0.043876,0,0
GSTCD,2.1755e-06,0.61195,0.83,0.52881,0,0
RNF180,2.1736e-06,0.66291,0.92,0.13352,0,0
FBXO41,2.1695e-06,0.58523,0.783,-1.0637,0,0
MXD3,2.1528e-06,0.80779,1.174,-0.85396,0,0
MOSPD3,2.1511e-06,0.80783,1.174,0.54491,0,0
WDR31,2.1466e-06,0.61228,0.83,0.99524,0,0
MFAP2,2.1462e-06,0.74575,1.065,0.52283,0,0
MTG2,2.1459e-06,0.74575,1.065,0.58517,0,0
OLFML3,2.1458e-06,0.69919,0.983,0.58931,0,0
RNASEL,2.145e-06,0.6123,0.83,1.122,0,0
CRLF3,2.124e-06,0.63536,0.871,0.70979,0,0
ARNTL2,2.1145e-06,0.61266,0.831,1.2754,0,0
FOXRED2,2.1125e-06,0.59394,0.798,1.3148,0,0
LMOD2,2.1062e-06,0.69993,0.984,0.48152,0,0
SYT10,2.1026e-06,0.60298,0.814,0.87125,0,0
ANKEF1,2.0997e-06,0.57843,0.77,0.80586,0,0
KIF14,2.0983e-06,0.51225,0.65,1.615,0,0
FTL,2.0921e-06,1.0264,1.552,1.1926,0,0
TMX4,2.0903e-06,0.8492,1.246,0.1588,0,0
TRIM36,2.0834e-06,0.56532,0.747,-0.26848,0,0
ATG4B,2.0819e-06,0.6239,0.851,0.24465,0,0
MXRA7,2.0786e-06,1.2467,1.824,0.13184,0,0
LGALS16,2.0783e-06,1.2467,1.824,-0.90482,0,0
MBIP,2.0746e-06,0.74738,1.067,0.56298,0,0
NDUFA4L2,2.0736e-06,1.2471,1.824,-0.85811,0,0
L2HGDH,2.0708e-06,0.63609,0.872,0.22597,0,0
MS4A6A,2.0695e-06,0.89737,1.331,0.00098546,0,0
COQ7,2.0603e-06,0.85018,1.247,0.079609,0,0
XPA,2.0576e-06,0.74778,1.068,-0.55916,0,0
ANKRD45,2.0456e-06,0.77706,1.119,1.1886,0,0
SPATA16,2.0376e-06,0.5721,0.759,0.94488,0,0
SLC19A2,2.0312e-06,0.62456,0.852,0.8925,0,0
DUSP5,2.0296e-06,0.74845,1.069,-1.4189,0,0
MED22,2.0285e-06,0.85123,1.249,0.7669,0,0
MS4A2,2.0242e-06,0.81148,1.179,0.1134,0,0
PRR35,2.0204e-06,1.1241,1.697,-2.8036,0,0
PCDHGA9,2.0149e-06,0.56,0.737,1.0036,0,0
AGFG2,2.0088e-06,0.63696,0.873,0.0276,0,0
OXT,2.0081e-06,1.4363,1.913,-1.6329,0,0
MCUR1,2.0081e-06,0.8997,1.334,-1.704,0,0
SANBR,2.0013e-06,0.70197,0.987,-0.26766,0,0
SRRM3,1.9941e-06,0.6658,0.924,-2.6138,0,0
MTERF2,1.9909e-06,0.72417,1.026,0.25033,0,0
GSTK1,1.9902e-06,0.77853,1.121,0.25218,0,0
MRPS10,1.9786e-06,0.90084,1.336,-0.41258,0,0
CCL25,1.9779e-06,1.0324,1.561,0.29024,0,0
MAD2L1BP,1.9731e-06,0.74982,1.071,0.65178,0,0
IGFL1,1.9706e-06,1.0328,1.561,-0.039872,0,0
CCDC167,1.9641e-06,1.1279,1.702,0.13261,0,0
TPK1,1.9608e-06,0.90154,1.337,0.13054,0,0
DKK3,1.9559e-06,0.68354,0.955,1.0536,0,0
PI4KA,1.9549e-06,0.45909,0.548,4.6448,0,0
PRSS23,1.9539e-06,0.68358,0.955,0.94584,0,0
