Disease,OMIMID,PhenotypeClass
rapadilino syndrome,OMIM:266280,3
rothmund-thomson syndrome,OMIM:268400,3
"{leprosy, susceptiblity to, 6}",-666,2
"{leukemia, acute lymphoblastic, susceptibility to, 2}",OMIM:613067,2
"{leukemia, acute lymphoblastic, susceptibility to, 3}",OMIM:615545,3
"{leukemia, acute lymphocytic, susceptibility to, 1}",-666,2
"{leukemia, chronic lymphocytic susceptibility to, 4}",OMIM:612558,2
"{leukemia, chronic lymphocytic susceptibility to, 5}",OMIM:612559,2
"{leukemia, chronic lymphocytic, susceptibility to, 1}",OMIM:609630,2
"{leukemia, chronic lymphocytic, susceptibility to, 2}",OMIM:109543,2
"{leukemia, chronic lymphocytic, susceptibility to, 3}",OMIM:612557,2
"{benzene toxicity, susceptibility to}",-666,3
"{breast cancer, poor survival after chemotherapy for}",-666,3
"{leukemia, post-chemotherapy, susceptibility to}",-666,3
"{lipodystrophy, partial, acquired, susceptibility to}",OMIM:608709,3
"atrial fibrillation, familial, 3",OMIM:607554,3
short qt syndrome 2,OMIM:609621,3
"{long qt syndrome 1, acquired, susceptibility to}",OMIM:192500,3
jervell and lange-nielsen syndrome,OMIM:220400,3
long qt syndrome 1,OMIM:192500,3
long qt syndrome 2,OMIM:613688,3
short qt syndrome 1,OMIM:609620,3
"{long qt syndrome 2, acquired, susceptibility to}",OMIM:613688,3
"{long qt syndrome, acquired, reduced susceptibility to}",OMIM:613688,3
"hypercholesterolemia, familial, 3",OMIM:603776,3
{low density lipoprotein cholesterol level qtl 1},OMIM:603776,3
aldosterone to renin ratio raised,-666,3
"hypoaldosteronism, congenital, due to cmo ii deficiency",OMIM:610600,3
"{low renin hypertension, susceptibility to}",-666,3
"hypoaldosteronism, congenital, due to cmo i deficiency",OMIM:203400,3
"{lumbar disc disease, susceptibility to}",OMIM:603932,3
fibrochondrogenesis,OMIM:228520,3
marshall syndrome,OMIM:154780,3
"stickler syndrome, type ii",OMIM:604841,3
"{lumbar disc herniation, susceptibility to}",OMIM:603932,3
{lung cancer susceptibility 3},OMIM:612571,2
{lung cancer susceptibility 4},OMIM:612593,2
{lung cancer susceptibility 5},OMIM:614210,2
{lung cancer susceptibility},-666,2
"mitochondrial complex iii deficiency, nuclear type 5",OMIM:615160,3
"autoimmune polyendocrinopathy syndrome , type i, with or without reversible metaphyseal dysplasia",OMIM:240300,3
"{macroglobulinemia, waldenstrom, susceptibility to, 1}",OMIM:153600,2
"{macroglobulinemia, waldenstrom, susceptibility to, 2}",OMIM:610430,2
roifman syndrome,OMIM:300258,2
complement factor i deficiency,OMIM:610984,3
"{hemolytic uremic syndrome, atypical, susceptibility to, 3}",OMIM:612923,3
"{macular degeneration, age-related, 13, susceptibility to}",OMIM:615439,3
?complement factor b deficiency,OMIM:615561,3
"{hemolytic uremic syndrome, atypical, susceptibility to, 4}",OMIM:612924,3
"{macular degeneration, age-related, 14, reduced risk of}",OMIM:615489,3
c2 deficiency,OMIM:217000,3
"{macular degeneration, age-related, 1}",OMIM:603075,3
cone-rod dystrophy,OMIM:604393,3
leber congenital amaurosis 4,OMIM:604393,3
"retinitis pigmentosa, juvenile",OMIM:604393,3
leber congenital amaurosis 14,OMIM:613341,3
cone-rod dystrophy 3,OMIM:604116,3
stargardt disease 1,OMIM:248200,3
"{macular degeneration, age-related, 2}",OMIM:153800,3
fundus flavimaculatus,OMIM:248200,3
retinitis pigmentosa 19,OMIM:601718,3
"retinal dystrophy, early-onset severe",OMIM:248200,3
basal laminar drusen,OMIM:126700,3
"{hemolytic uremic syndrome, atypical, susceptibility to, 1}",OMIM:235400,3
"{macular degeneration, age-related, 4}",OMIM:610698,3
complement factor h deficiency,OMIM:609814,3
"{macular degeneration, age-related, 8}",OMIM:613778,3
c3 deficiency,OMIM:613779,3
"{hemolytic uremic syndrome, atypical, susceptibility to, 5}",OMIM:612925,3
"{macular degeneration, age-related, 9}",OMIM:611378,3
carasil syndrome,OMIM:600142,3
"{macular degeneration, age-related, 7}",OMIM:610149,3
"{macular degeneration, age-related, neovascular type}",OMIM:610149,3
"{hemolytic uremic syndrome, atypical, susceptibility to}",OMIM:235400,3
"{macular degeneration, age-related, reduced risk of}",OMIM:603075,3
"autoimmune lymphoproliferative syndrome, type ib",OMIM:601859,3
cerebrooculofacioskeletal syndrome 1,OMIM:214150,3
"cockayne syndrome, type b",OMIM:133540,3
de sanctis-cacchione syndrome,OMIM:278800,3
uv-sensitive syndrome 1,OMIM:600630,3
"{macular degeneration, age-related, susceptibility to 5}",OMIM:613761,3
"{lung cancer, susceptibility to}",OMIM:211980,3
{major affective disorder 1},OMIM:125480,2
"{major affective disorder 3, early onset}",-666,2
{major affective disorder 5},OMIM:611535,2
{major affective disorder 6},OMIM:611536,2
"{major affective disorder-7, susceptibility to}",OMIM:612371,3
"{major affective disorder-8, susceptibility to}",-666,2
"{major affective disorder-9, susceptibility to}",-666,2
{major depressive disorder and accelerated response to antidepressant drug treatment},OMIM:608516,3
"[bilirubin, serum level of, qtl1]",OMIM:601816,3
"hyperbilirubinemia, familial transient neonatal",OMIM:237900,3
[gilbert syndrome],OMIM:143500,3
"crigler-najjar syndrome, type i",OMIM:218800,3
"crigler-najjar syndrome, type ii",OMIM:606785,3
"{hodgkin disease susceptibility, pseudoautosomal}",-666,2
"immunodeficiency 31a, mycobacteriosis, autosomal dominant",OMIM:614892,3
"immunodeficiency 31b, mycobacterial and viral infections, autosomal recessive",OMIM:613796,3
"immunodeficiency 31c, autosomal dominant",OMIM:614162,3
"{malaria, intensity of infection}",-666,2
"{malaria, mild, susceptibility to}",OMIM:609148,3
"[blood group, duffy system]",OMIM:110700,3
[white blood cell count qtl],OMIM:611862,3
"{malaria, vivax, protection against}",OMIM:611162,3
central core disease,OMIM:117000,3
"neuromuscular disease, congenital, with uniform type 1 fiber",OMIM:117000,3
{malignant hyperthermia susceptibility 1},OMIM:145600,3
king-denborough syndrome,OMIM:145600,3
minicore myopathy with external ophthalmoplegia,OMIM:255320,3
{malignant hyperthermia susceptibility 2},-666,2
{malignant hyperthermia susceptibility 3},-666,2
{malignant hyperthermia susceptibility 4},-666,2
{malignant hyperthermia susceptibility 6},-666,2
"{malignant mesothelioma, susceptibility to}",-666,2
"{meconium ileus in cystic fibrosis, susceptibility to}",-666,2
cranioectodermal dysplasia 2,OMIM:613610,3
short-rib thoracic dysplasia 7 with or without polydactyly,OMIM:614091,3
"{melanoma, cutaneous malignant, 1}",-666,2
melanoma and neural system tumor syndrome,OMIM:155755,3
pancreatic cancer/melanoma syndrome,OMIM:606719,3
"{melanoma, cutaneous malignant, 2}",OMIM:155601,3
"orolaryngeal cancer, multiple, ",-666,3
"{melanoma, cutaneous malignant, 3}",OMIM:609048,3
"{melanoma, cutaneous malignant, 4}",-666,2
"{melanoma, cutaneous malignant, 7}",-666,2
"{melanoma, cutaneous malignant, susceptibility to, 10}",OMIM:615848,3
"[skin/hair/eye pigmentation 3, blue/green eyes]",OMIM:601800,3
"albinism, oculocutaneous, type ib",OMIM:606952,3
"waardenburg syndrome/albinism, digenic",OMIM:103470,3
"[skin/hair/eye pigmentation 3, light/dark/freckling skin]",OMIM:601800,3
"albinism, oculocutaneous, type ia",OMIM:203100,3
tietz albinism-deafness syndrome,OMIM:103500,3
"waardenburg syndrome, type 2a",OMIM:193510,3
"waardenburg syndrome/ocular albinism, digenic",OMIM:103470,3
"{melanoma, cutaneous malignant, susceptibility to, 8}",OMIM:601800,3
"{melanoma, uveal, susceptibility to, 1}",OMIM:606660,2
"{melanoma, uveal, susceptibility to, 2}",OMIM:606661,2
hailey-hailey disease,OMIM:169600,3
"{menarche, age at, qtl2}",-666,2
"{menarche, age at, qtl3}",-666,2
"{menarche, age at, qtl}",-666,2
"basal cell carcinoma, somatic",-666,3
basal cell nevus syndrome,OMIM:109400,3
medulloblastoma,OMIM:155255,3
holoprosencephaly-7,OMIM:610828,3
capillary malformation-arteriovenous malformation,OMIM:608354,3
parkes weber syndrome,OMIM:608355,3
"medulloblastoma, desmoplastic",OMIM:155255,3
"{meningioma, familial, susceptibility to}",OMIM:607174,3
"{menopause, natural, age at, qtl1}",-666,2
"{menopause, natural, age at, qtl2}",-666,2
"{menopause, natural, age at, qtl3}",-666,2
"{menopause, natural, age at, qtl4}",-666,2
{mental health wellness-1},OMIM:603663,2
{mental health wellness-2},OMIM:603664,2
abetalipoproteinemia,OMIM:200100,3
"{metabolic syndrome, protection against}",OMIM:605552,3
{microvascular complications of diabetes 2},OMIM:612623,3
alpha-2-plasmin inhibitor deficiency,OMIM:262850,3
interleukin 1 receptor antagonist deficiency,OMIM:612852,3
{microvascular complications of diabetes 4},OMIM:612628,3
{gastric cancer risk after h. pylori infection},OMIM:137215,3
{microvascular complications of diabetes 6},OMIM:612634,3
hypertensive nephropathy,OMIM:608026,2
"{migraine with aura, susceptibility to, 7}",OMIM:609179,2
"{migraine with aura, susceptibility to, 9}",OMIM:609670,2
"{migraine with or without aura, susceptibility to, 1}",OMIM:157300,2
"{migraine with or without aura, susceptibility to, 3}",OMIM:607498,2
"{migraine with or without aura, susceptibility to, 5}",OMIM:607508,2
"{migraine without aura, susceptibility to, 4}",OMIM:607501,2
"{migraine, familial typical, susceptibility to, 2}",OMIM:300125,2
"{migraine, susceptibility to, 8}",-666,2
"hypertrichosis, congenital generalized",OMIM:307150,4
"{migraine, with or without aura, susceptibility to, 12}",OMIM:611706,2
"{migraine, with or without aura, susceptibility to, 13}",OMIM:613656,3
"{moyamoya disease 2, susceptibility to}",OMIM:607151,3
lig4 syndrome,OMIM:606593,3
"{multiple myeloma, resistance to}",OMIM:254500,3
moyamoya 6 with achalasia,OMIM:615750,3
"bare lymphocyte syndrome, type ii, complementation group d",OMIM:209920,3
"{multiple sclerosis, susceptibility to, 2}",OMIM:612594,2
"{multiple sclerosis, susceptibility to, 3}",OMIM:612595,2
"{multiple sclerosis, susceptibility to, 4}",OMIM:612596,2
"periodic fever, familial",OMIM:142680,3
"{multiple sclerosis, susceptibility to, 5}",OMIM:614810,3
"loeys-dietz syndrome, type 1",OMIM:609192,3
"{multiple self-healing squamous epithelioma, susceptiblity to}",OMIM:132800,3
"coenzyme q10 deficiency, primary, 1",OMIM:607426,3
"{multiple system atrophy, susceptibility to}",OMIM:146500,3
"{mycobacerium tuberculosis, susceptibility, x-linked}",-666,2
"{buruli ulcer, susceptibility to}",OMIM:610446,3
"{mycobacterium tuberculosis, susceptibility to infection by}",OMIM:607948,3
"{mycobacterium tuberculosis, susceptibility to, 2}",OMIM:611046,2
"{mycobacterium tuberculosis, susceptibility to, 3}",OMIM:612929,2
"{myocardial infarcation, susceptibility to}",OMIM:608446,3
alzheimer disease-2,OMIM:104310,3
"{?macular degeneration, age-related}",OMIM:603075,3
{myocardial infarction susceptibility},-666,3
"hyperlipoproteinemia, type iii",-666,3
lipoprotein glomerulopathy,OMIM:611771,3
sea-blue histiocyte disease,OMIM:269600,3
factor vii deficiency,OMIM:227500,3
"{myocardial infarction, decreased susceptibility to}",OMIM:608446,3
"{myocardial infarction, susceptibility to, 2}",OMIM:608557,2
"{epilepsy, juvenile absence, susceptibility to, 1}",OMIM:607631,3
"{myoclonic epilepsy, juvenile, susceptibility to, 1}",OMIM:254770,3
{narcolepsy 4},-666,2
{narcolepsy 5},-666,2
"niemann-pick disease, type c1",OMIM:257220,3
"niemann-pick disease, type d",OMIM:257220,3
{nasopharyngeal carcinoma 1},-666,2
"{nasopharyngeal carcinoma, susceptibility to, 2}",OMIM:161550,2
"{nephrolithiasis, uric acid, susceptibility to}",OMIM:605990,3
"homocystinuria-megaloblastic anemia, cbl e type",OMIM:236270,3
"homocystinuria-megaloblastic anemia, cblg complementation type",OMIM:250940,3
"{neural tube defects, folate-sensitive, susceptibility to}",OMIM:601634,3
"cpt deficiency, hepatic, type ii",OMIM:600649,3
"cpt ii deficiency, lethal neonatal",OMIM:608836,3
"{encephalopathy, acute, infection-induced, 4, susceptibility to}",OMIM:614212,3
myopathy due to cpt ii deficiency,OMIM:255110,3
"central hypoventilation syndrome, congenital, with or without hirschsprung disease",OMIM:209880,3
neuroblastoma with hirschsprung disease,OMIM:613013,3
"{neuroblastoma, susceptibility to, 2}",OMIM:613013,3
"{neuroblastoma, susceptibility to, 3}",OMIM:613014,3
"{neuroblastoma, susceptibility to, 4}",OMIM:613015,2
"{neuroblastoma, susceptibility to, 5}",OMIM:613016,2
"{neuroblastoma, susceptibility to, 6}",OMIM:613017,2
coumarin resistance,OMIM:122700,3
"{lung cancer, resistance to}",OMIM:211980,3
"{nicotine addiction, protection from}",OMIM:188890,3
"epilepsy, nocturnal frontal lobe, 1",OMIM:600513,3
"{nicotine addiction, susceptibility to}",OMIM:188890,3
"parkinsonism-dystonia, infantile",OMIM:613135,3
"{nicotine dependence, protection against}",OMIM:188890,3
{lung cancer susceptibility 2},OMIM:612052,3
"{nicotine dependence, susceptibility to}",OMIM:188890,3
"bernard-soulier syndrome, type a1 (recessive)",OMIM:231200,3
"von willebrand disease, platelet-type",OMIM:177820,3
"{nonarteritic anterior ischemic optic neuropathy, susceptibility to}",OMIM:258660,3
"bernard-soulier syndrome, type a2 (dominant)",OMIM:153670,3
"?inflammatory skin and bowel disease, neonatal, 2",OMIM:616069,3
"nonsmall cell lung cancer, response to tyrosine kinase inhibitor in",OMIM:211980,3
"{nonsmall cell lung cancer, susceptibility to}",OMIM:211980,3
"adenocarcinoma of lung, response to tyrosine kinase inhibitor in",OMIM:211980,3
{nonsmall cell lung cancer},-666,2
"{obesity, association with}",OMIM:601665,3
"obesity, adrenal insufficiency, and red hair due to pomc deficiency",OMIM:609734,3
"{obesity, early-onset, susceptibility to}",OMIM:601665,3
"{leanness, inherited}",-666,3
"{obesity, late-onset}",OMIM:601665,3
"{obesity, severe, and type ii diabetes}",OMIM:601665,3
inflammatory bowel disease 19,OMIM:612278,3
"{mycobacterium tuberculosis, protection against}",OMIM:607948,3
"{obesity, severe, susceptibility to, bmiq9}",OMIM:602025,3
"{obesity, susceptibility to, bmiq10}",-666,2
"{obesity, susceptibility to, bmiq11}",OMIM:300306,3
obesity with impaired prohormone processing,OMIM:600955,3
"{obesity, susceptibility to, bmiq12}",OMIM:612362,3
"{obesity, susceptibility to, bmiq18}",OMIM:615457,3
"{obesity, susceptibility to, bmiq4}",OMIM:607447,3
"{obesity, susceptibility to, bmiq7}",-666,2
"{obesity, susceptibility to, bmiq8}",-666,2
"arterial calcification, generalized, of infancy, 1",OMIM:208000,3
"hypophosphatemic rickets, autosomal recessive, 2",OMIM:613312,3
"{diabetes mellitus, non-insulin-dependent, susceptibility to}",OMIM:125853,3
cole disease,OMIM:615522,3
"beta-2-adrenoreceptor agonist, reduced response to",-666,3
"{asthma, nocturnal, susceptibility to}",OMIM:600807,3
"{obesity, susceptibility to}",OMIM:601665,3
"{obesity, variation in}",OMIM:601665,3
{obesity},OMIM:601665,3
{anxiety-related personality traits},OMIM:607834,3
{obsessive-compulsive disorder},OMIM:164230,3
"{opioid dependence, susceptibility to, 1}",OMIM:610064,2
"{epilepsy, idiopathic generalized, susceptibility to}",OMIM:600669,3
"{opioid dependence, susceptibility to}",OMIM:610064,3
[high density lipoprotein cholesterol level qtl 12],OMIM:612797,3
hepatic lipase deficiency,OMIM:614025,3
"fanconi renotubular syndrome 4, with maturity-onset diabetes of the young",OMIM:616026,3
"mody, type i",OMIM:125850,3
"{diabetes mellitus, noninsulin-dependent}",OMIM:125853,2
fanconi-bickel syndrome,OMIM:227810,3
maturity-onset diabetes of the young 6,OMIM:606394,3
"[lpa deficiency, congenital]",-666,3
"{coronary artery disease, susceptibility to}",-666,1
"{coronary artery spasm 2, susceptibility to",-666,3
{microvascular complications of diabetes 5},OMIM:612633,3
"{organophosphate poisoning, sensitivity to}",-666,3
"tumoral calcinosis, hyperphosphatemic",OMIM:211900,3
{osteoarthritis susceptibility 1},OMIM:165720,3
"epiphyseal dysplasia, multiple, 5",OMIM:607078,3
spondyloepimetaphyseal dysplasia,OMIM:608728,3
{osteoarthritis susceptibility 2},OMIM:140600,3
{lumbar disc degeneration},OMIM:603932,3
{osteoarthritis susceptibility 3},OMIM:607850,3
{osteoarthritis susceptibility 4},OMIM:610839,2
{osteoarthritis susceptibility 6},OMIM:612401,2
"acromesomelic dysplasia, hunter-thompson type",OMIM:201250,3
"symphalangism, proximal, 1b",OMIM:615298,3
{osteoarthritis-5},OMIM:612400,3
"brachydactyly, type a1, c",OMIM:615072,3
multiple synostoses syndrome 2,OMIM:610017,3
"brachydactyly, type c",OMIM:113100,3
"chondrodysplasia, grebe type",OMIM:200700,3
du pan syndrome,OMIM:228900,3
"brachydactyly, type a2",OMIM:112600,3
"{hfe hemochromatosis, modifier of}",OMIM:235200,3
"chrondrodysplasia, acromesomelic, with genital anomalies",OMIM:609441,3
"osteogenesis imperfecta, type xv",OMIM:615220,3
"{osteoporosis, early-onset, susceptibility to, autosomal dominant}",OMIM:615221,3
"{osteoporosis, postmenopausal, susceptibility}",OMIM:166710,3
"ehlers-danlos syndrome, cardiac valvular form",OMIM:225320,3
"osteogenesis imperfecta, type iv",OMIM:166220,3
"{osteoporosis, postmenopausal}",OMIM:166710,3
"ehlers-danlos syndrome, type viib",OMIM:130060,3
"osteogenesis imperfecta, type ii",OMIM:166210,3
"osteogenesis imperfecta, type iii",OMIM:259420,3
"{osteoporosis, susceptibility to}",OMIM:166710,3
[bone mineral density variability 1],OMIM:601884,3
osteosclerosis,OMIM:144750,3
"van buchem disease, type 2",OMIM:607636,3
exudative vitreoretinopathy 4,OMIM:601813,3
"hyperostosis, endosteal",OMIM:144750,3
osteoporosis-pseudoglioma syndrome,OMIM:259770,3
"osteopetrosis, autosomal dominant 1",OMIM:607634,3
{osteoporosis},OMIM:166710,2
[bone mineral density variation qtl],OMIM:166710,3
oi type iv,OMIM:166220,3
"osteogenesis imperfecta, type i",OMIM:166200,3
caffey disease,OMIM:114000,3
oi type iii,OMIM:259420,3
oi type ii,OMIM:166210,3
"ehlers-danlos syndrome, type viia",OMIM:130060,3
"ehlers-danlos syndrome, type i",OMIM:130000,3
"ehlers-danlos syndrome, type ii",OMIM:130010,3
"{otitis media, susceptibility to}",OMIM:166760,2
{otosclerosis 4},OMIM:611571,2
"{ovarian cancer, somatic}",OMIM:167000,3
"{ovarian cancer, susceptibility to}",-666,2
"{pancreatic cancer, susceptibility to, 1}",OMIM:606856,3
"{breast-ovarian cancer, familial, 1}",OMIM:604370,3
"{pancreatic cancer, susceptibility to, 4}",OMIM:614320,3
"{pancreatitis, chronic, protection against}",OMIM:167800,3
"{pancreatitis, chronic, susceptibility to}",OMIM:167800,3
congenital bilateral absence of vas deferens,OMIM:277180,3
"{hypertrypsinemia, neonatal}",-666,3
"{pancreatitis, idiopathic}",OMIM:167800,3
cystic fibrosis,OMIM:219700,3
sweat chloride elevation without cf,-666,3
"{bronchiectasis with or without elevated sweat chloride 1, modifier of}",OMIM:211400,3
mucopolysaccharidosis ih,OMIM:607014,3
mucopolysaccharidosis ih/s,OMIM:607015,3
mucopolysaccharidosis is,OMIM:607016,3
{parkinson disease 16},OMIM:613164,2
"gaucher disease, perinatal lethal",OMIM:608013,3
"{lewy body dementia, susceptibility to}",OMIM:127750,3
"{parkinson disease, late-onset, susceptibility to}",OMIM:168600,3
"gaucher disease, type i, 23080",-666,3
"gaucher disease, type ii",OMIM:230900,3
"gaucher disease, type iii",OMIM:231000,3
"gaucher disease, type iiic",OMIM:231005,3
"acne inversa, familial, 3",OMIM:613737,3
"cardiomyopathy, dilated, 1u",OMIM:613694,3
"dementia, frontotemporal",OMIM:600274,3
"alzheimer disease, type 3",OMIM:607822,3
"alzheimer disease, type 3, with spastic paraparesis and apraxia",OMIM:607822,3
"alzheimer disease, type 3, with spastic paraparesis and unusual plaques",OMIM:607822,3
"dementia, frontotemporal, with or without parkinsonism",OMIM:600274,3
"supranuclear palsy, progressive",OMIM:601104,3
"supranuclear palsy, progressive atypical",OMIM:260540,3
pick disease,OMIM:172700,3
spinocerebellar ataxia 17,OMIM:607136,3
"{parkinson disease, susceptibility to}",OMIM:168600,3
"{aerodigestive tract cancer, squamous cell, alcohol-related, protection against}",-666,3
"{alcohol dependence, protection against}",OMIM:103780,3
"{patent ductus arteriosus, susceptibility to}",-666,2
"{pelvic organ prolapse, susceptibility to, 1}",-666,2
"{pelvic organ prolapse, susceptibility to, 2}",OMIM:613088,2
"bare lymphocyte syndrome, type ii, complementation group c",OMIM:209920,3
"bare lymphocyte syndrome, type ii, complementation group e",OMIM:209920,3
central hypoventilation syndrome,OMIM:209880,3
"{hirschsprung disease, susceptibility to, 3}",OMIM:613711,3
"{pheochromocytoma, modifier of}",OMIM:171300,3
"{pheochromocytoma, susceptibility to}",OMIM:171300,3
{plasmodium falciparum fever episodes qtl1},-666,2
"{podoconiosis, susceptibility to}",OMIM:614590,2
"hyperthyroidism, familial gestational",OMIM:603373,3
thyroid carcinoma with thyrotoxicosis,-666,3
"hypothyroidism, congenital, nongoitrous",OMIM:275200,3
"hyperthyroidism, nonautoimmune",OMIM:609152,3
"thyroid adenoma, hyperfunctioning, somatic",-666,3
mitochondrial complex 1 deficiency,OMIM:252010,3
"epilepsy, generalized, with febrile seizures plus, type 7",OMIM:613863,3
small fiber neuropathy,OMIM:133020,3
"{dravet syndrome, modifier of}",OMIM:607208,3
"erythermalgia, primary",OMIM:133020,3
"febrile seizures, familial, 3b",OMIM:613863,3
"hsan2d, autosomal recessive",OMIM:243000,3
"paroxysmal extreme pain disorder, 167400, ",-666,3
"insensitivity to pain, congenital",OMIM:243000,3
"{pregnancy loss, recurrent, susceptibility to, 3}",OMIM:614391,3
spermatogenic failure 4,OMIM:270960,3
"{pregnancy loss, susceptibility to}",-666,3
"osteogenesis imperfecta, type x",OMIM:613848,3
"{preterm premature rupture of the membranes, susceptibility to}",OMIM:610504,3
{prostate cancer aggressiveness qtl},OMIM:176807,2
"{prostate cancer, hereditary, 12}",OMIM:611868,3
"{prostate cancer, hereditary, 13}",OMIM:611928,3
"{prostate cancer, hereditary, 14}",OMIM:611958,2
"{prostate cancer, hereditary, 15}",OMIM:611959,2
combined oxidative phosphorylation deficiency 17,OMIM:615440,3
"{prostate cancer, hereditary, 2, susceptibility to}",OMIM:614731,3
"{prostate cancer, hereditary, 5}",OMIM:176807,2
"{prostate cancer, hereditary, 7}",OMIM:610321,2
"{prostate cancer, hereditary, 9}",OMIM:610997,2
"{prostate cancer, hereditary, x-linked 2}",OMIM:300704,2
"{prostate cancer, progression of}",OMIM:176807,1
"{prostate cancer, susceptibility to, 3}",OMIM:176807,2
"{prostate cancer, susceptibility to, 4}",OMIM:176807,2
"{prostate cancer/brain cancer susceptibility, somatic}",OMIM:603688,3
"{pseudofolliculitis barbae, susceptibility to}",OMIM:612318,3
"{lupus nephritis, susceptibility to}",-666,3
"{malaria, severe, susceptibility to}",OMIM:611162,3
"{pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}",OMIM:219700,3
desbuquois dysplasia 2,OMIM:615777,3
"{pseudoxanthoma elasticum, modifier of severity of}",OMIM:264800,3
{psoraisis susceptibility 9},-666,2
"{psoriasis 15, pustular, susceptibility to}",OMIM:616106,3
{psoriasis susceptibility 10},-666,2
{psoriasis susceptibility 11},-666,2
"?candidiasis, familial, 8",OMIM:615527,3
{psoriasis susceptibility 13},OMIM:614070,3
"{hiv-1 viremia, susceptibility to}",OMIM:609423,3
{psoriasis susceptibility 1},OMIM:177900,3
{psoriasis susceptibility 3},-666,2
{psoriasis susceptibility 4},-666,2
{psoriasis susceptibility 5},-666,2
{psoriasis susceptibility 6},-666,2
{psoriasis susceptibility 7},-666,2
{psoriasis susceptibility 8},-666,2
"{inflammatory bowel disease 17, protection against}",OMIM:612261,3
"{psoriasis, protection against}",OMIM:605606,3
"{prostate cancer, hereditary, 10}",OMIM:611100,2
emphysema due to aat deficiency,OMIM:613490,3
"emphysema-cirrhosis, due to aat deficiency",OMIM:613490,3
hemorrhagic diathesis due to \'antithrombin\' pittsburgh,OMIM:613490,3
"{pulmonary disease, chronic obstructive, susceptibility to}",OMIM:606963,1
heme oxygenase-1 deficiency,OMIM:614034,3
"{bone marrow failure, telomere-related, 1}",OMIM:614742,3
"{melanoma, cutaneous malignant, 9}",OMIM:615134,3
"{pulmonary fibrosis, telomere-related, 1}",OMIM:614742,3
{coronary artery disease},-666,3
"{dyskeratosis congenita, autosomal dominant 2}",OMIM:613989,3
"{dyskeratosis congenita, autosomal recessive 4}",OMIM:613989,3
"{leukemia, acute myeloid}",OMIM:601626,3
{pulmonary function},OMIM:608852,2
"{pulmonary hypertension, chronic thromboembolic, without deep vein thrombosis, susceptibility to}",OMIM:612862,2
"{coronary artery disease, resistance to}",OMIM:607339,3
"{macular degeneration, age-related, 12}",OMIM:613784,3
{rapid progression to aids from hiv1 infection},OMIM:609423,3
"diabetes mellitus, gestational",OMIM:125851,3
"hyperinsulinemic hypoglycemia, familial, 3",OMIM:602485,3
"mody, type ii",OMIM:125851,3
"diabetes mellitus, noninsulin-dependent, late onset",OMIM:125853,3
"diabetes mellitus, permanent neonatal",OMIM:606176,3
"diabetes mellitus, insulin-dependent, 2",OMIM:125852,3
"hyperproinsulinemia, familial, with or without diabetes",-666,3
"maturity-onset diabetes of the young, type 10",OMIM:613370,3
"diabetes mellitus, type 1",OMIM:125852,3
"diabetes mellitus, noninsulin-dependent",OMIM:125853,3
renal cysts and diabetes syndrome,OMIM:137920,3
{renal cell carcinoma},OMIM:144700,3
"diabetes mellitus, transient neonatal 2",OMIM:610374,3
"hyperinsulinemic hypoglycemia, familial, 1",OMIM:256450,3
"hypoglycemia of infancy, leucine-sensitive",OMIM:240800,3
"{renal dysplasia, cystic, susceptibility to}",OMIM:601331,3
favism,OMIM:134700,3
hemolytic anemia due to g6pd deficiency,OMIM:300908,3
{resistance to malaria due to g6pd deficiency},OMIM:611162,3
{restless legs syndrome 1},-666,2
{restless legs syndrome 2},-666,2
{restless legs syndrome 3},-666,2
{restless legs syndrome 4},-666,2
{restless legs syndrome 5},-666,2
{restless legs syndrome 6},-666,2
{restless legs syndrome 7},-666,2
"usher syndrome, type iic, gpr98/pdzd7 digenic",OMIM:605472,3
"{retinal disease in usher syndrome type iia, modifier of}",OMIM:276901,3
"mental retardation, autosomal dominant 16",OMIM:614609,3
{rhabdoid tumor predisposition syndrome 2},OMIM:613325,3
"{graft-versus-host disease, protection against}",OMIM:614395,3
"{hiv-1, susceptibility to}",OMIM:609423,3
"{rheumatoid arthritis, progression of}",OMIM:180300,3
"{rheumatoid arthritis, systemic juvenile, susceptibility to}",OMIM:604302,3
{crohn disease-associated growth failure},OMIM:266600,3
"{kaposi sarcoma, susceptibility to}",OMIM:148000,3
"{rheumatoid arthritis, systemic juvenile}",OMIM:604302,3
"{diabetes, susceptibility to}, 222100",OMIM:125853,3
"{intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to}",OMIM:108010,3
"{sarcoidosis, susceptibility to, 2}",OMIM:612387,3
"{sarcoidosis, susceptibility to, 3}",OMIM:612388,2
"{schistosoma mansoni infection, susceptibility/resistance to}",OMIM:181460,2
"[blood group, knops system]",OMIM:607486,3
cr1 deficiency,-666,1
"{malaria, severe, resistance to}",OMIM:611162,3
{?sle susceptibility},-666,1
{schizophrenia 10},OMIM:605419,2
{schizophrenia 12},OMIM:181500,2
phelan-mcdermid syndrome,OMIM:606232,3
{schizophrenia 15},OMIM:613950,3
"{schizophrenia, susceptibility to, 13}",-666,2
"{schizophrenia, susceptibility to, 14}",-666,2
pitt-hopkins-like syndrome 2,OMIM:614325,3
"{schizophrenia, susceptibility to, 17}",OMIM:614332,3
"hyperprolinemia, type i",OMIM:239500,3
