gene_id,gene_name
NCBIGene:274,BIN1
NCBIGene:330,BIRC3
NCBIGene:640,BLK
NCBIGene:641,BLM
NCBIGene:29760,BLNK
NCBIGene:388552,BLOC1S3
NCBIGene:63915,BLOC1S5
NCBIGene:26258,BLOC1S6
NCBIGene:84162,BLTP1
NCBIGene:644,BLVRA
NCBIGene:649,BMP1
NCBIGene:9210,BMP15
NCBIGene:650,BMP2
NCBIGene:652,BMP4
NCBIGene:654,BMP6
NCBIGene:168667,BMPER
NCBIGene:657,BMPR1A
NCBIGene:658,BMPR1B
NCBIGene:659,BMPR2
NCBIGene:9790,BMS1
NCBIGene:646,BNC1
NCBIGene:54796,BNC2
NCBIGene:662,BNIP1
NCBIGene:388962,BOLA3
NCBIGene:729991,BORCS8
NCBIGene:669,BPGM
NCBIGene:54928,BPNT2
NCBIGene:2186,BPTF
NCBIGene:9083,BPY2
NCBIGene:673,BRAF
NCBIGene:221927,BRAT1
NCBIGene:672,BRCA1
NCBIGene:675,BRCA2
NCBIGene:79184,BRCC3
NCBIGene:23476,BRD4
NCBIGene:676,BRDT
NCBIGene:2972,BRF1
NCBIGene:83990,BRIP1
NCBIGene:7862,BRPF1
NCBIGene:54014,BRWD1
NCBIGene:254065,BRWD3
NCBIGene:26580,BSCL2
NCBIGene:7809,BSND
NCBIGene:686,BTD
NCBIGene:54766,BTG4
NCBIGene:695,BTK
NCBIGene:56244,BTNL2
NCBIGene:8945,BTRC
NCBIGene:699,BUB1
NCBIGene:701,BUB1B
NCBIGene:9184,BUB3
NCBIGene:84811,BUD13
NCBIGene:114049,BUD23
NCBIGene:118461,C10orf71
NCBIGene:113246,C12orf57
NCBIGene:317761,C14orf39
NCBIGene:497661,C18orf32
NCBIGene:83636,C19orf12
NCBIGene:29071,C1GALT1C1
NCBIGene:712,C1QA
NCBIGene:713,C1QB
NCBIGene:708,C1QBP
NCBIGene:714,C1QC
NCBIGene:114902,C1QTNF5
NCBIGene:715,C1R
NCBIGene:716,C1S
NCBIGene:717,C2
NCBIGene:26005,C2CD3
NCBIGene:205327,C2orf69
NCBIGene:718,C3
NCBIGene:79669,C3orf52
NCBIGene:720,C4A
NCBIGene:721,C4B
NCBIGene:727,C5
NCBIGene:729,C6
NCBIGene:730,C7
NCBIGene:731,C8A
NCBIGene:732,C8B
NCBIGene:735,C9
NCBIGene:203228,C9orf72
NCBIGene:771,CA12
NCBIGene:760,CA2
NCBIGene:762,CA4
NCBIGene:763,CA5A
NCBIGene:767,CA8
NCBIGene:51475,CABP2
NCBIGene:57010,CABP4
NCBIGene:773,CACNA1A
NCBIGene:774,CACNA1B
NCBIGene:775,CACNA1C
NCBIGene:776,CACNA1D
NCBIGene:777,CACNA1E
NCBIGene:778,CACNA1F
NCBIGene:8913,CACNA1G
NCBIGene:8912,CACNA1H
NCBIGene:8911,CACNA1I
NCBIGene:779,CACNA1S
NCBIGene:781,CACNA2D1
NCBIGene:9254,CACNA2D2
NCBIGene:93589,CACNA2D4
NCBIGene:783,CACNB2
NCBIGene:785,CACNB4
NCBIGene:10369,CACNG2
NCBIGene:790,CAD
NCBIGene:57863,CADM3
NCBIGene:799,CALCR
NCBIGene:10203,CALCRL
NCBIGene:801,CALM1
NCBIGene:805,CALM2
NCBIGene:808,CALM3
NCBIGene:811,CALR
NCBIGene:815,CAMK2A
NCBIGene:816,CAMK2B
NCBIGene:818,CAMK2G
NCBIGene:79823,CAMKMT
NCBIGene:819,CAMLG
NCBIGene:157922,CAMSAP1
NCBIGene:23261,CAMTA1
NCBIGene:124583,CANT1
NCBIGene:10486,CAP2
NCBIGene:823,CAPN1
NCBIGene:6650,CAPN15
NCBIGene:825,CAPN3
NCBIGene:726,CAPN5
NCBIGene:826,CAPNS1
NCBIGene:4076,CAPRIN1
NCBIGene:29775,CARD10
NCBIGene:84433,CARD11
NCBIGene:79092,CARD14
NCBIGene:22900,CARD8
NCBIGene:64170,CARD9
NCBIGene:146206,CARMIL2
NCBIGene:833,CARS1
NCBIGene:79587,CARS2
NCBIGene:9607,CARTPT
NCBIGene:8573,CASK
NCBIGene:843,CASP10
NCBIGene:23581,CASP14
NCBIGene:835,CASP2
NCBIGene:841,CASP8
NCBIGene:844,CASQ1
NCBIGene:845,CASQ2
NCBIGene:846,CASR
NCBIGene:831,CAST
NCBIGene:54897,CASZ1
NCBIGene:847,CAT
NCBIGene:375307,CATIP
NCBIGene:117144,CATSPER1
NCBIGene:117155,CATSPER2
NCBIGene:151254,CATSPERT
NCBIGene:857,CAV1
NCBIGene:859,CAV3
NCBIGene:284119,CAVIN1
NCBIGene:865,CBFB
NCBIGene:867,CBL
NCBIGene:868,CBLB
NCBIGene:2694,CBLIF
NCBIGene:875,CBS
NCBIGene:84733,CBX2
NCBIGene:25776,CBY1
NCBIGene:54862,CC2D1A
NCBIGene:57545,CC2D2A
NCBIGene:147372,CCBE1
NCBIGene:79879,CCDC134
NCBIGene:285025,CCDC141
NCBIGene:57639,CCDC146
NCBIGene:51244,CCDC174
NCBIGene:28952,CCDC22
NCBIGene:79140,CCDC28B
NCBIGene:90416,CCDC32
NCBIGene:91057,CCDC34
NCBIGene:339829,CCDC39
NCBIGene:55036,CCDC40
NCBIGene:57003,CCDC47
NCBIGene:152137,CCDC50
NCBIGene:84660,CCDC62
NCBIGene:124093,CCDC78
NCBIGene:83987,CCDC8
NCBIGene:55704,CCDC88A
NCBIGene:440193,CCDC88C
NCBIGene:55297,CCDC91
NCBIGene:881,CCIN
NCBIGene:6356,CCL11
NCBIGene:83605,CCM2
NCBIGene:1490,CCN2
NCBIGene:8838,CCN6
NCBIGene:595,CCND1
NCBIGene:894,CCND2
NCBIGene:899,CCNF
NCBIGene:8812,CCNK
NCBIGene:10309,CCNO
NCBIGene:92002,CCNQ
NCBIGene:1230,CCR1
NCBIGene:729230,CCR2
NCBIGene:1235,CCR6
NCBIGene:7203,CCT3
NCBIGene:22948,CCT5
NCBIGene:135228,CD109
NCBIGene:977,CD151
NCBIGene:8763,CD164
NCBIGene:930,CD19
NCBIGene:51744,CD244
NCBIGene:919,CD247
NCBIGene:939,CD27
NCBIGene:29126,CD274
NCBIGene:940,CD28
NCBIGene:23607,CD2AP
NCBIGene:51293,CD320
NCBIGene:948,CD36
NCBIGene:915,CD3D
NCBIGene:916,CD3E
NCBIGene:917,CD3G
NCBIGene:920,CD4
NCBIGene:958,CD40
NCBIGene:959,CD40LG
NCBIGene:4179,CD46
NCBIGene:1604,CD55
NCBIGene:966,CD59
NCBIGene:970,CD70
NCBIGene:973,CD79A
NCBIGene:974,CD79B
NCBIGene:975,CD81
NCBIGene:925,CD8A
NCBIGene:10225,CD96
NCBIGene:146059,CDAN1
NCBIGene:8556,CDC14A
NCBIGene:991,CDC20
NCBIGene:51362,CDC40
NCBIGene:998,CDC42
NCBIGene:9578,CDC42BPB
NCBIGene:8318,CDC45
NCBIGene:990,CDC6
NCBIGene:79577,CDC73
NCBIGene:83879,CDCA7
NCBIGene:999,CDH1
NCBIGene:1009,CDH11
NCBIGene:1013,CDH15
NCBIGene:1000,CDH2
NCBIGene:64072,CDH23
NCBIGene:1001,CDH3
NCBIGene:92211,CDHR1
NCBIGene:84529,CDIN1
NCBIGene:8558,CDK10
NCBIGene:8621,CDK13
NCBIGene:23097,CDK19
NCBIGene:1019,CDK4
NCBIGene:1020,CDK5
NCBIGene:55755,CDK5RAP2
NCBIGene:1021,CDK6
NCBIGene:1024,CDK8
NCBIGene:6792,CDKL5
NCBIGene:1027,CDKN1B
NCBIGene:1028,CDKN1C
NCBIGene:1029,CDKN2A
NCBIGene:1030,CDKN2B
NCBIGene:50937,CDON
NCBIGene:1041,CDSN
NCBIGene:81620,CDT1
NCBIGene:9085,CDY1
NCBIGene:9426,CDY2A
NCBIGene:388551,CEACAM16
NCBIGene:1084,CEACAM3
NCBIGene:4680,CEACAM6
NCBIGene:1050,CEBPA
NCBIGene:1053,CEBPE
NCBIGene:1056,CEL
NCBIGene:63036,CELA2A
NCBIGene:10659,CELF2
NCBIGene:9620,CELSR1
NCBIGene:338657,CENATAC
NCBIGene:1062,CENPE
NCBIGene:1063,CENPF
NCBIGene:80152,CENPT
NCBIGene:9731,CEP104
NCBIGene:201134,CEP112
NCBIGene:153241,CEP120
NCBIGene:57562,CEP126
NCBIGene:9662,CEP135
NCBIGene:22995,CEP152
NCBIGene:22897,CEP164
NCBIGene:84984,CEP19
NCBIGene:11190,CEP250
NCBIGene:80184,CEP290
NCBIGene:85459,CEP295
NCBIGene:95681,CEP41
NCBIGene:55165,CEP55
NCBIGene:9702,CEP57
NCBIGene:80254,CEP63
NCBIGene:84131,CEP78
NCBIGene:51134,CEP83
NCBIGene:387119,CEP85L
NCBIGene:375298,CERKL
NCBIGene:10715,CERS1
NCBIGene:204219,CERS3
NCBIGene:10087,CERT1
NCBIGene:1066,CES1
NCBIGene:1071,CETP
NCBIGene:154313,CFAP206
NCBIGene:200373,CFAP221
NCBIGene:144406,CFAP251
NCBIGene:56683,CFAP298
NCBIGene:85016,CFAP300
NCBIGene:755,CFAP410
NCBIGene:157657,CFAP418
NCBIGene:80217,CFAP43
NCBIGene:55779,CFAP44
NCBIGene:25790,CFAP45
NCBIGene:286464,CFAP47
