gene_symbol,mim_number,entry_type
CCND2,123833.0,gene
CCND3,123834.0,gene
CCNA2,123835.0,gene
CCNB1,123836.0,gene
CCNE1,123837.0,gene
CCNC,123838.0,gene
PPIA,123840.0,gene
PPIB,123841.0,gene
PPIC,123842.0,gene
CST1,123855.0,gene
CST2,123856.0,gene
CST4,123857.0,gene
CST5,123858.0,gene
CARS1,123859.0,gene
CTPS1,123860.0,gene
COX4I1,123864.0,gene
COX5B,123866.0,gene
COX8A,123870.0,gene
CRIP1,123875.0,gene
CSRP1,123876.0,gene
S100A8,123885.0,gene
S100A9,123886.0,gene
IL10RB,123889.0,gene
CTLA4,123890.0,gene
EZR,123900.0,gene
GZMB,123910.0,gene
CDA,123920.0,gene
CYP2B6,123930.0,gene
KRT4,123940.0,gene
CYCS,123970.0,gene
CYC1,123980.0,gene
COX7A1,123995.0,gene
COX7A2,123996.0,gene
COX7A2P2,123997.0,predominantly phenotypes
CYP3A4,124010.0,gene
POR,124015.0,gene
CYP2C19,124020.0,gene
CYP2D6,124030.0,gene
CYP2E1,124040.0,gene
DAO,124050.0,gene
CYP1A2,124060.0,gene/phenotype
CYP2F1,124070.0,gene
CYP4B1,124075.0,gene
CYP11B2,124080.0,gene
COX6B1,124089.0,gene
COX6C,124090.0,gene
IL10,124092.0,gene
CSK,124095.0,gene
DBP,124097.0,gene
DDO,124450.0,gene
DEFA1,125220.0,gene
CD55,125240.0,gene
DCN,125255.0,gene
SULT2A1,125263.0,gene
DEK,125264.0,gene
REEP5,125265.0,gene
ALAD,125270.0,gene
ALAS1,125290.0,gene
DMTN,125305.0,gene
DCK,125450.0,gene
DSPP,125485.0,gene
DNASE1,125505.0,gene
DPT,125597.0,gene
DSC1,125643.0,gene
DSC2,125645.0,gene
DSP,125647.0,gene
DES,125660.0,gene
DSG1,125670.0,gene
DSG2,125671.0,gene
DGKA,125855.0,gene
NQO1,125860.0,gene/phenotype
DBI,125950.0,gene
DHFR,126060.0,gene
DLST,126063.0,gene
DHODH,126064.0,gene
CYP24A1,126065.0,gene
PCBD1,126090.0,gene
ARNT,126110.0,gene
DPP6,126141.0,gene
HBEGF,126150.0,gene
DLX2,126255.0,gene
GADD45A,126335.0,gene
DDIT3,126337.0,gene
ERCC2,126340.0,gene
DNASE2,126350.0,gene
DNMT1,126375.0,gene
ERCC1,126380.0,gene
LIG1,126391.0,gene
TOP1,126420.0,gene
TOP2A,126430.0,gene
TOP2B,126431.0,gene
DRD1,126449.0,gene
DRD2,126450.0,gene
DRD3,126451.0,gene
DRD4,126452.0,gene
DRD5,126453.0,gene
SLC6A3,126455.0,gene
SLC26A3,126650.0,gene
DBN1,126660.0,gene
DAG1,128239.0,gene
UTRN,128240.0,gene
SNRPE,128260.0,gene
EGR1,128990.0,gene
EGR4,128992.0,gene
EGR2,129010.0,gene
NT5E,129190.0,gene
CELA1,130120.0,gene
ELANE,130130.0,gene
SERPINB1,130135.0,gene
ELN,130160.0,gene
ETFB,130410.0,gene
EPB41,130500.0,gene
EEF1A1,130590.0,gene
EEF1D,130592.0,gene
EEF1G,130593.0,gene
EEF2,130610.0,gene
RPS14,130620.0,gene
EMILIN1,130660.0,gene
ERV3-1,131170.0,gene
ENG,131195.0,gene
SELE,131210.0,gene
FGF1,131220.0,gene
TYMP,131222.0,gene
ANXA5,131230.0,gene
KDELR1,131235.0,gene
EDN1,131240.0,gene/phenotype
EDN2,131241.0,gene
EDN3,131242.0,gene
EDNRA,131243.0,gene
EDNRB,131244.0,gene
EN1,131290.0,gene
EN2,131310.0,gene
GATA3,131320.0,gene
PENK,131330.0,gene
PDYN,131340.0,gene
ENO2,131360.0,gene
ENO3,131370.0,gene
ENO4,131375.0,predominantly phenotypes
NID1,131390.0,gene
RNASE3,131398.0,gene
EPX,131399.0,gene
RNASE2,131410.0,gene
EGF,131530.0,gene
EGFR,131550.0,gene
FLOT2,131560.0,gene
STX2,132350.0,gene
EPHX1,132810.0,gene
EPHX2,132811.0,gene
EBVS1,132850.0,predominantly phenotypes
NR2F6,132880.0,gene
NR2F1,132890.0,gene
STOM,133090.0,gene
EPO,133170.0,gene
EPOR,133171.0,gene
ESA4,133220.0,gene
ESD,133280.0,gene
ESB3,133290.0,gene
ESR1,133430.0,gene
RUNX1T1,133435.0,gene
EIF4E,133440.0,gene
EWSR1,133450.0,gene
ERCC3,133510.0,gene
ERCC4,133520.0,gene
ERCC5,133530.0,gene
SLC1A1,133550.0,gene
CFD,134350.0,gene
CFH,134370.0,gene
CFHR1,134371.0,gene
F3,134390.0,gene
F13A1,134570.0,gene
F13B,134580.0,gene
FDPS,134629.0,gene
FNTA,134635.0,gene
FNTB,134636.0,gene
FAS,134637.0,gene
FASLG,134638.0,gene
FABP2,134640.0,gene
FABP1,134650.0,gene
FABP3,134651.0,gene
GSTP1,134660.0,gene
FAU,134690.0,gene
FTH1,134770.0,gene
FTL,134790.0,gene
FBL,134795.0,gene
FBN1,134797.0,gene
FGA,134820.0,gene
FGB,134830.0,gene
FGG,134850.0,gene
FGF2,134920.0,gene
FGF6,134921.0,gene
FGFR3,134934.0,gene
FGFR4,134935.0,gene
FN1,135600.0,gene
ITGA5,135620.0,gene
ITGB1,135630.0,gene
FBLN1,135820.0,gene
FBLN2,135821.0,gene
FLG,135940.0,gene
FMO1,136130.0,gene
FMO4,136131.0,gene
FMO3,136132.0,gene
FGFR1,136350.0,gene
FLT3,136351.0,gene
FLT4,136352.0,gene
FOLR2,136425.0,gene
FOLR1,136430.0,gene
FSHR,136435.0,gene
KDSR,136440.0,gene
FST,136470.0,gene
FPGS,136510.0,gene
FOSL1,136515.0,gene
FSHB,136530.0,gene
FOXO1,136533.0,gene
FMN1,136535.0,gene
FPR1,136537.0,gene
FPR2,136538.0,gene
FPR3,136539.0,gene
FUCA2,136820.0,gene
FUT5,136835.0,gene
FUT6,136836.0,gene
FH,136850.0,gene
FURIN,136950.0,gene
TSTA3,137020.0,gene
FYN,137025.0,gene
GRK4,137026.0,gene
GALK2,137028.0,gene
GALM,137030.0,gene
GAL,137035.0,gene
B4GALT1,137060.0,gene
FUS,137070.0,gene
GABRA2,137140.0,gene
GABRA4,137141.0,gene
GABRA5,137142.0,gene
GABRA6,137143.0,gene
ABAT,137150.0,gene
GABRA1,137160.0,gene
GABRR1,137161.0,gene
GABRR2,137162.0,gene
GABRD,137163.0,gene
GABRG2,137164.0,gene
SLC6A1,137165.0,gene
GABRG1,137166.0,gene
GGCX,137167.0,gene
GGT5,137168.0,gene
GGCT,137170.0,gene
GGT2,137181.0,gene
GABRB1,137190.0,gene
GABRB3,137192.0,gene
LRRC32,137207.0,gene
ATP4A,137216.0,gene
ATP4B,137217.0,gene
GIP,137240.0,gene
GIPR,137241.0,gene
GAST,137250.0,gene
GRP,137260.0,gene
TACSTD2,137290.0,gene
GATA2,137295.0,gene
GSN,137350.0,gene
SLC20A1,137570.0,gene
GFAP,137780.0,gene
MPV17,137960.0,gene
GCG,138030.0,gene
GLP1R,138032.0,gene
GCGR,138033.0,gene
NR3C1,138040.0,gene
NR3C1P1,138060.0,predominantly phenotypes
GCK,138079.0,gene
H6PD,138090.0,gene
HSPA5,138120.0,gene
GLUD1,138130.0,gene
SLC2A1,138140.0,gene
GOT2,138150.0,gene
SLC2A2,138160.0,gene
SLC2A3,138170.0,gene
GOT1,138180.0,gene
SLC2A4,138190.0,gene
GPT,138200.0,gene
GPT2,138210.0,gene
SLC2A5,138230.0,gene
GRIK3,138243.0,gene
GRIK2,138244.0,gene
GRIK1,138245.0,gene
GRIA4,138246.0,gene
GRIA2,138247.0,gene
GRIA1,138248.0,gene
GRIN1,138249.0,gene
ALDH18A1,138250.0,gene
GRINA,138251.0,gene
GRIN2B,138252.0,gene
GRIN2A,138253.0,gene
GRIN2C,138254.0,gene
GAD2,138275.0,gene
GLS,138280.0,gene
GLUL,138290.0,gene
GFPT1,138292.0,gene
EPRS1,138295.0,gene
