Gene,disease_name,evidence_level,Typical inheritance,Penetrance,pediatric_onset,babyseq_category,meets_ngsr,Reason for BabySeq category,Pediatric disease gene in Bell 2011,pubmed_ids,iba_panel,Reviewed,evidence_score,penetrance_score,category_score,inheritance_code,is_pediatric,is_category_a,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR,actionability_index
ERCC8,Cockayne syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"641373, 16865293, 10447254, 19894250, 26210811, 27004399","SK, SEIZ, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0
ESCO2,Roberts syndrome,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"19574259, 15821733, 18411254",SK,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75
ESPN,Hearing loss,Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"15286153, 15930085, 18973245, 26969326",HL,Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14166666666666666
ESRRB,Hearing loss,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"21802533, 22951369, 22567352, 18179891, 23967202, 26226137",HL,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75
ETFA,Glutaric acidemia IIA,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"1882842, 1430199, 16510302, 20674745","IEM,GLY, SEIZ, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.75
ETFB,Glutaric acidemia IIB,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"7912128, 12815589, 1430199, 20674745, 18289905","IEM,GLY, SEIZ, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.75
ETFDH,Glutaric acidemia IIC,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"17584774, 21347544, 1430199, 12359134,  24357026","IEM,GLY, SEIZ, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.75
ETHE1,Ethylmalonic encephalopathy,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"20978941, 14732903, 16183799, 18593870","IEM, SEIZ, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.75
EVC,Ellis-van Creveld syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"10700184, 23220543, 19810119, 17024374",SK,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
EVC2,Ellis-van Creveld syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"23220543, 19810119, 17024374",SK,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
EXT1,"Exostoses, multiple, type 1",Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"77726168, 8317501,  11432960, 7550340, 16879194, 16088908, 9463333, 11432960, 15586175","SK, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0
