orpha_code,disease_name,disorder_type,gene_symbol,gene_name,gene_locus,association_type,omim_gene,hgnc,ensembl
ORPHA:466794,Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Disease,SCYL1,SCY1 like pseudokinase 1,11q13.1,Disease-causing germline mutation(s) in,607982,14372,ENSG00000142186
ORPHA:466791,Macrocephaly-intellectual disability-left ventricular non compaction syndrome,Malformation syndrome,NONO,non-POU domain containing octamer binding,Xq13.1,Disease-causing germline mutation(s) (loss of function) in,300084,7871,ENSG00000147140
ORPHA:466784,Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect,Disease,SLC25A26,solute carrier family 25 member 26,3p14.1,Disease-causing germline mutation(s) (loss of function) in,611037,20661,ENSG00000144741
ORPHA:466775,Autosomal recessive Charcot-Marie-Tooth disease type 2X,Disease,SPG11,"SPG11 vesicle trafficking associated, spatacsin",15q21.1,Disease-causing germline mutation(s) in,610844,11226,ENSG00000104133
ORPHA:466768,Autosomal dominant Charcot-Marie-Tooth disease type 2Z,Disease,MORC2,MORC family CW-type zinc finger 2,22q12.2,Disease-causing germline mutation(s) in,616661,23573,ENSG00000133422
ORPHA:466729,Familial patent arterial duct,Morphological anomaly,TFAP2B,transcription factor AP-2 beta,6p12.3,Disease-causing germline mutation(s) in,601601,11743,ENSG00000008196
ORPHA:466729,Familial patent arterial duct,Morphological anomaly,PRDM6,PR/SET domain 6,5q23.2,Disease-causing germline mutation(s) (loss of function) in,616982,9350,ENSG00000061455
ORPHA:466722,Autosomal recessive spastic paraplegia type 77,Disease,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",6p25.1,Disease-causing germline mutation(s) (loss of function) in,611592,21062,ENSG00000145982
ORPHA:466718,Martinique crinkled retinal pigment epitheliopathy,Disease,MAPKAPK3,MAPK activated protein kinase 3,3p21.2,Disease-causing germline mutation(s) in,602130,6888,ENSG00000114738
ORPHA:466703,TMEM199-CDG,Disease,VMA12,vacuolar ATPase assembly factor VMA12,17q11.2,Disease-causing germline mutation(s) (loss of function) in,616815,18085,ENSG00000244045
ORPHA:465824,Fetal encasement syndrome,Malformation syndrome,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,10q24.31,Disease-causing germline mutation(s) in,600664,1974,ENSG00000213341
ORPHA:466026,Class I glucose-6-phosphate dehydrogenase deficiency,Disease,G6PD,glucose-6-phosphate dehydrogenase,Xq28,Disease-causing germline mutation(s) in,305900,4057,ENSG00000160211
ORPHA:468620,Intellectual disability-epilepsy-extrapyramidal syndrome,Disease,DEAF1,DEAF1 transcription factor,11p15.5,Disease-causing germline mutation(s) in,602635,14677,ENSG00000177030
ORPHA:468631,Microcephalic cortical malformations-short stature due to RTTN deficiency,Malformation syndrome,RTTN,rotatin,18q22.2,Disease-causing germline mutation(s) in,610436,18654,ENSG00000176225
ORPHA:467166,Tubulinopathy-associated dysgyria,Disease,TUBA1A,tubulin alpha 1a,12q13.12,Disease-causing germline mutation(s) in,602529,20766,ENSG00000167552
ORPHA:467166,Tubulinopathy-associated dysgyria,Disease,TUBB2B,tubulin beta 2B class IIb,6p25.2,Disease-causing germline mutation(s) in,612850,30829,ENSG00000137285
ORPHA:467166,Tubulinopathy-associated dysgyria,Disease,TUBB3,tubulin beta 3 class III,16q24.3,Disease-causing germline mutation(s) in,602661,20772,ENSG00000258947
ORPHA:467176,Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome,Disease,CCDC174,coiled-coil domain containing 174,3p25.1,Disease-causing germline mutation(s) in,616735,28033,ENSG00000154781
ORPHA:468635,Cryptogenic multifocal ulcerous stenosing enteritis,Disease,PLA2G4A,phospholipase A2 group IVA,1q31.1,Disease-causing germline mutation(s) (loss of function) in,600522,9035,ENSG00000116711
ORPHA:468641,Chronic enteropathy associated with SLCO2A1 gene,Disease,SLCO2A1,solute carrier organic anion transporter family member 2A1,3q22.1-q22.2,Disease-causing germline mutation(s) (loss of function) in,601460,10955,ENSG00000174640
ORPHA:468661,Autosomal recessive spastic paraplegia type 74,Disease,IBA57,iron-sulfur cluster assembly factor IBA57,1q42.13,Disease-causing germline mutation(s) in,615316,27302,ENSG00000181873
ORPHA:468666,Isolated generalized anhidrosis with normal sweat glands,Disease,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",12p11.23,Disease-causing germline mutation(s) (loss of function) in,600144,6181,ENSG00000123104
ORPHA:468678,White-Sutton syndrome,Disease,POGZ,pogo transposable element derived with ZNF domain,1q21.3,Disease-causing germline mutation(s) (loss of function) in,614787,18801,ENSG00000143442
ORPHA:468684,CCDC115-CDG,Disease,VMA22,vacuolar ATPase assembly factor VMA22,2q21.1,Disease-causing germline mutation(s) (loss of function) in,613734,28178,ENSG00000136710
ORPHA:468672,Colobomatous macrophthalmia-microcornea syndrome,Disease,CRIM1,cysteine rich transmembrane BMP regulator 1,2p22.2,Disease-causing germline mutation(s) in,606189,2359,ENSG00000150938
ORPHA:468726,Severe primary trimethylaminuria,Disease,FMO3,flavin containing dimethylaniline monoxygenase 3,1q24.3,Disease-causing germline mutation(s) (loss of function) in,136132,3771,ENSG00000007933
ORPHA:468699,SLC39A8-CDG,Disease,SLC39A8,solute carrier family 39 member 8,4q24,Disease-causing germline mutation(s) in,608732,20862,ENSG00000138821
ORPHA:468717,Rhizomelic chondrodysplasia punctata type 5,Etiological subtype,PEX5,peroxisomal biogenesis factor 5,12p13.31,Disease-causing germline mutation(s) (loss of function) in,600414,9719,ENSG00000139197
ORPHA:401785,Autosomal recessive spastic paraplegia type 62,Disease,ERLIN1,ER lipid raft associated 1,10q24.31,Disease-causing germline mutation(s) in,611604,16947,ENSG00000107566
ORPHA:401780,Autosomal recessive spastic paraplegia type 61,Disease,ARL6IP1,ARL6 interacting reticulophagy regulator 1,16p12.3,Disease-causing germline mutation(s) in,607669,697,ENSG00000170540
ORPHA:401800,Autosomal recessive spastic paraplegia type 60,Disease,WDR48,WD repeat domain 48,3p22.2,Disease-causing germline mutation(s) in,612167,30914,ENSG00000114742
ORPHA:401795,Autosomal recessive spastic paraplegia type 59,Disease,USP8,ubiquitin specific peptidase 8,15q21.2,Disease-causing germline mutation(s) in,603158,12631,ENSG00000138592
ORPHA:401768,Proximal myopathy with extrapyramidal signs,Disease,MICU1,mitochondrial calcium uptake 1,10q22.1,Disease-causing germline mutation(s) (loss of function) in,605084,1530,ENSG00000107745
ORPHA:401764,Pancytopenia-developmental delay syndrome,Disease,ERCC6L2,ERCC excision repair 6 like 2,9q22.32,Disease-causing germline mutation(s) (loss of function) in,615667,26922,ENSG00000182150
ORPHA:401777,Optic atrophy-intellectual disability syndrome,Disease,NR2F1,nuclear receptor subfamily 2 group F member 1,5q15,Disease-causing germline mutation(s) (loss of function) in,132890,7975,ENSG00000175745
ORPHA:401830,Autosomal recessive spastic paraplegia type 69,Disease,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,1q41,Disease-causing germline mutation(s) in,609275,17168,ENSG00000118873
ORPHA:401835,Autosomal recessive spastic paraplegia type 70,Disease,MARS1,methionyl-tRNA synthetase 1,12q13.3,Disease-causing germline mutation(s) in,156560,6898,ENSG00000166986
ORPHA:401840,Autosomal recessive spastic paraplegia type 71,Disease,ZFR,zinc finger RNA binding protein,5p13.3,Disease-causing germline mutation(s) in,615635,17277,ENSG00000056097
ORPHA:401805,Autosomal recessive spastic paraplegia type 63,Disease,AMPD2,adenosine monophosphate deaminase 2,1p13.3,Disease-causing germline mutation(s) in,102771,469,ENSG00000116337
ORPHA:401810,Autosomal recessive spastic paraplegia type 64,Disease,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,10q24.1,Disease-causing germline mutation(s) in,601752,3363,ENSG00000138185
ORPHA:401815,Autosomal recessive spastic paraplegia type 66,Disease,ARSI,arylsulfatase family member I,5q32,Disease-causing germline mutation(s) in,610009,32521,ENSG00000183876
ORPHA:401820,Autosomal recessive spastic paraplegia type 67,Disease,PGAP1,post-GPI attachment to proteins inositol deacylase 1,2q33.1,Disease-causing germline mutation(s) in,611655,25712,ENSG00000197121
ORPHA:401866,Childhood-onset spasticity with hyperglycinemia,Disease,GLRX5,glutaredoxin 5,14q32.13,Disease-causing germline mutation(s) in,609588,20134,ENSG00000182512
ORPHA:401869,Multiple mitochondrial dysfunctions syndrome type 1,Disease,NFU1,NFU1 iron-sulfur cluster scaffold,2p13.3,Disease-causing germline mutation(s) in,608100,16287,ENSG00000169599
ORPHA:401874,Multiple mitochondrial dysfunctions syndrome type 2,Disease,BOLA3,bolA family member 3,2p13.1,Disease-causing germline mutation(s) in,613183,24415,ENSG00000163170
ORPHA:401849,Autosomal spastic paraplegia type 72,Disease,REEP2,receptor accessory protein 2,5q31.2,Disease-causing germline mutation(s) (loss of function) in,609347,17975,ENSG00000132563
ORPHA:401859,Lipoic acid synthetase deficiency,Disease,LIAS,lipoic acid synthetase,4p14,Disease-causing germline mutation(s) in,607031,16429,ENSG00000121897
ORPHA:401862,Lipoyl transferase 1 deficiency,Disease,LIPT1,lipoyltransferase 1,2q11.2,Disease-causing germline mutation(s) in,610284,29569,ENSG00000144182
ORPHA:401920,Fibrolamellar hepatocellular carcinoma,Disease,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,19p13.12,Part of a fusion gene in,604572,5270,ENSG00000132002
