GeneSym	OMIMID	GeneID
CA2	OMIM:611492	760
CA4	OMIM:114760	762
CA5A	OMIM:114761	763
CA8	OMIM:114815	767
CABP2	OMIM:607314	51475
CABP4	OMIM:608965	57010
CACNA1A	OMIM:601011	773
CACNA1C	OMIM:114205	775
CACNA1D	OMIM:114206	776
CACNA1F	OMIM:300110	778
CACNA1H	OMIM:607904	8912
CACNA1S	OMIM:114208	779
CACNA2D4	OMIM:608171	93589
CACNB2	OMIM:600003	783
CACNB4	OMIM:601949	785
CACNG2	OMIM:602911	10369
CALCR	OMIM:114131	799
CALM1	OMIM:114180	801
CALR3	OMIM:611414	125972
CAMPD1	OMIM:114200	100381210
CAMTA1	OMIM:611501	23261
CANDF1	OMIM:114580	117084
CANT1	OMIM:613165	124583
CAPN10	OMIM:605286	11132
CAPN3	OMIM:114240	825
CAPN5	OMIM:602537	726
CARD11	OMIM:607210	84433
CARD14	OMIM:607211	79092
CARD9	OMIM:607212	64170
CASC5	OMIM:609173	57082
CASK	OMIM:300172	8573
CASP12	OMIM:608633	100506742
CASQ2	OMIM:114251	845
CASR	OMIM:601199	846
CAT	OMIM:115500	847
CATSPER1	OMIM:606389	117144
CAV1	OMIM:601047	857
CAV3	OMIM:601253	859
CBFB	OMIM:121360	865
CBL	OMIM:165360	867
CBS	OMIM:613381	875
CBX2	OMIM:602770	84733
CC2D1A	OMIM:610055	54862
CCAL1	OMIM:600668	882
CCBE1	OMIM:612753	147372
CCCSX	OMIM:300864	100820758
CCDC103	OMIM:614677	388389
CCDC11	OMIM:614759	220136
CCDC114	OMIM:615038	93233
CCDC151	OMIM:615956	115948
ARL6	OMIM:608845	84100
CCDC28B	OMIM:610162	79140
CCDC39	OMIM:613798	339829
CCDC40	OMIM:613799	55036
CCDC50	OMIM:611051	152137
CCDC6	OMIM:601985	8030
CCDC65	OMIM:611088	85478
CCDC78	OMIM:614666	124093
CCDC8	OMIM:614145	83987
CCDC88C	OMIM:611204	440193
CCL3	OMIM:182283	6348
CCL3L1	OMIM:601395	6349
CCL5	OMIM:187011	6352
CCM2	OMIM:607929	83605
CCND2	OMIM:123833	894
CCNO	OMIM:607752	10309
CCR2	OMIM:601267	729230
CCR5	OMIM:601373	1234
CCT5	OMIM:610150	22948
CD151	OMIM:602243	977
CD19	OMIM:107265	930
CD207	OMIM:604862	50489
CD247	OMIM:186780	919
CD27	OMIM:186711	939
CD2AP	OMIM:604241	23607
CD320	OMIM:606475	51293
CD3G	OMIM:186740	917
CD4	OMIM:186940	920
CD40	OMIM:109535	958
CD40LG	OMIM:300386	959
CD44	OMIM:107269	960
CD46	OMIM:120920	4179
CD55	OMIM:125240	1604
CD59	OMIM:107271	966
CD79A	OMIM:112205	973
CD79B	OMIM:147245	974
CD81	OMIM:186845	975
CD8A	OMIM:186910	925
CD96	OMIM:606037	10225
CDAGS	OMIM:603116	574043
CDAN1	OMIM:607465	146059
CDAN3	OMIM:105600	981
CDC6	OMIM:602627	990
CDC73	OMIM:607393	79577
CDH15	OMIM:114019	1013
CDH3	OMIM:114021	1001
CDHR1	OMIM:609502	92211
CDK4	OMIM:123829	1019
CDK5RAP2	OMIM:608201	55755
CDK6	OMIM:603368	1021
CDKL5	OMIM:300203	6792
CDKN1B	OMIM:600778	1027
CDKN2A	OMIM:600160	1029
CDON	OMIM:608707	50937
CDSN	OMIM:602593	1041
CDT1	OMIM:605525	81620
CEACAM16	OMIM:614591	388551
CEBPE	OMIM:600749	1053
CECR	OMIM:115470	1055
CECR1	OMIM:607575	51816
CEL	OMIM:114840	1056
CELIAC10	OMIM:612008	100188872
CELIAC11	OMIM:612009	100188873
CELIAC12	OMIM:612010	100188874
CELIAC13	OMIM:612011	100188875
CELIAC2	OMIM:609754	317782
CELIAC5	OMIM:607202	338332
CELIAC6	OMIM:611598	100188846
CELIAC7	OMIM:612005	100301522
CELIAC8	OMIM:612006	100188870
CELIAC9	OMIM:612007	100188871
CENPE	OMIM:117143	1062
CENPJ	OMIM:609279	55835
CEP135	OMIM:611423	9662
CEP152	OMIM:613529	22995
CEP164	OMIM:614848	22897
CEP19	OMIM:615586	84984
CEP290	OMIM:610142	80184
CEP41	OMIM:610523	95681
CEP57	OMIM:607951	9702
CEP63	OMIM:614724	80254
CEP83	OMIM:615847	51134
CERKL	OMIM:608381	375298
CERS3	OMIM:615276	204219
CES1	OMIM:114835	1066
CETP	OMIM:118470	1071
C2	OMIM:613927	717
CFB	OMIM:138470	629
CFHR1	OMIM:134371	3078
CFHR3	OMIM:605336	10878
CFHR5	OMIM:608593	81494
CFI	OMIM:217030	3426
CFL2	OMIM:601443	1073
CFM1	OMIM:603855	10167
CFP	OMIM:300383	5199
CFSS	OMIM:300712	100188773
CFTDX	OMIM:300580	100188765
CFTR	OMIM:602421	1080
CGF1	OMIM:300082	1083
CHAT	OMIM:118490	1103
CHCHD10	OMIM:615903	400916
CHD2	OMIM:602119	1106
CHD8	OMIM:610528	57680
CHDM	OMIM:215400	121775
CHDS1	OMIM:607339	338334
CHDS2	OMIM:608316	387584
CHDS3	OMIM:300464	387573
CHDS4	OMIM:608318	387585
CHDS8	OMIM:611139	100188836
